.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR10710700_1	1	1	1	1	0.25	0.5	1	1	0.5	1	1
ERR10710700_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710702_1	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710702_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710703_1	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710703_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710705_1	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710705_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710706_1	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710706_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710707_1	1	1	1	1	0.25	0.5	1	1	0.5	1	1
ERR10710707_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710709_1	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10710709_2	1	1	1	1	0.25	0.5	1	1	1	1	1
ERR10782663_1	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10782663_2	1	1	1	1	0.5	1	1	1	1	0.25	0.25
ERR10782668_1	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10782668_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10782671_1	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10782671_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10782676_1	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10782676_2	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10782680_1	1	1	1	1	0.5	0.5	1	1	1	0.25	1
ERR10782680_2	1	1	1	1	0.5	0.5	1	1	1	1	1
ERR10782688_1	1	1	1	1	0.5	0.5	1	1	1	1	1
ERR10782688_2	1	1	1	1	0.5	0.5	1	1	1	0.25	1
ERR10782695_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
ERR10782695_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10782717_1	1	1	1	1	0.5	0.5	1	1	1	1	1
ERR10782717_2	1	1	1	1	0.5	0.5	1	1	1	1	1
ERR10782743_1	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10782743_2	1	1	1	1	0.5	0.5	1	1	1	1	0.25
ERR10783123_1	1	1	1	1	0.25	1	1	1	1	0.5	0.25
ERR10783123_2	1	1	1	1	0.25	1	1	1	1	1	0.25
ERR10783128_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
ERR10783128_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10783132_1	1	1	0.5	1	0.5	0.5	1	1	1	0.25	0.25
ERR10783132_2	1	1	0.25	1	0.5	1	0.5	1	1	1	0.25
ERR10783138_1	1	1	1	1	0.5	1	1	1	1	0.25	0.5
ERR10783138_2	1	1	1	1	0.5	0.5	1	1	1	0.5	0.5
ERR10783144_1	1	1	1	1	0.25	0.5	1	1	1	0.25	0.25
ERR10783144_2	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10783153_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
ERR10783153_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10783156_1	1	1	1	1	0.25	0.5	1	1	1	0.25	0.5
ERR10783156_2	1	1	1	1	0.25	0.5	1	1	1	1	0.5
ERR10783159_1	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10783159_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10783163_1	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10783163_2	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10783166_1	1	1	1	1	0.5	0.5	1	1	1	0.5	0.5
ERR10783166_2	1	1	1	1	0.5	0.5	1	1	1	1	0.5
ERR10783178_1	1	0.25	0.25	1	0.25	0.5	0.5	1	1	1	0.25
ERR10783178_2	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.25	0.25
ERR10787957_1	1	1	1	1	0.5	0.5	1	1	1	0.5	0.25
ERR10787957_2	1	1	1	1	0.25	0.5	1	1	1	0.25	0.25
ERR10787959_1	1	1	1	1	0.25	0.5	1	1	1	0.25	0.25
ERR10787959_2	1	1	1	1	0.25	0.25	1	1	1	1	0.25
ERR10787961_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	0.25	0.25
ERR10787961_2	1	0.5	0.25	1	0.25	0.5	0.5	0.5	1	1	0.25
ERR10788033_1	1	1	1	1	0.5	1	1	1	1	1	0.25
ERR10788033_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10788115_1	1	1	1	1	0.5	0.5	1	1	1	1	0.5
ERR10788115_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.5
ERR10788118_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
ERR10788118_2	1	1	1	1	0.5	0.5	1	1	1	0.25	0.25
ERR10788121_1	1	1	0.5	1	0.5	0.5	1	1	1	1	0.25
ERR10788121_2	1	1	0.5	1	0.5	0.5	1	1	1	0.25	0.25
ERR10794274_1	1	1	0.5	1	0.5	0.5	1	1	1	0.25	0.25
ERR10794274_2	1	1	0.5	1	0.5	1	1	1	1	1	0.25
