Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
ERR10710700_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.53986440258564e-05)	(15, 0.00016619593207756918)	(20, 0.00027699322012928195)	(25, 0.0003139256494798529)	(30, 0.0008679120897384169)	(35, 0.0012003039538935553)	(40, 0.0019020201115544026)	(45, 0.003065391636097387)	(50, 0.004468823951419082)	(55, 0.005872256266740777)	(60, 0.007349553440763615)	(65, 0.009713228919200154)	(70, 0.012538559764518831)	(75, 0.014809904169578942)	(80, 0.016970451286587345)	(85, 0.019648052414503736)	(90, 0.022935038626704547)	(95, 0.026480551844359358)	(100, 0.02941667997772975)	(105, 0.03190961895889328)	(110, 0.034975010594990676)	(115, 0.03802193601641277)	(120, 0.04173364516614515)	(125, 0.0450944962370471)	(130, 0.0487877391721042)	(135, 0.05270257668326471)	(140, 0.056802076341178086)	(145, 0.06271126503726943)	(150, 0.06719855520336379)	(155, 0.07199977101893804)	(160, 0.07755810163619895)	(165, 0.08274710795995416)	(170, 0.08812077643046225)	(175, 0.0935129111156456)	(180, 0.09949596467043809)	(185, 0.10629153167094312)	(190, 0.11336409189157745)	(195, 0.12102757098182093)	(200, 0.13016834724608722)	(205, 0.14058329232294825)	(210, 0.15177381841617124)	(215, 0.1621148986343311)	(220, 0.1717357964801548)	(225, 0.18392349816584325)	(230, 0.19633279442763504)	(235, 0.21081030673305884)	(240, 0.22039427214953203)																		
ERR10710700_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 1.8466214675285465e-05)	(45, 9.233107337642732e-05)	(50, 9.233107337642732e-05)	(55, 0.00018466214675285465)	(60, 0.0003139256494798529)	(65, 0.0004985877962327075)	(70, 0.0005909188696091349)	(75, 0.0008863783044137024)	(80, 0.0012187701685688408)	(85, 0.0014588309593475519)	(90, 0.0016619593207756918)	(95, 0.001957418755580259)	(100, 0.0025483376251893945)	(105, 0.003453182144278382)	(110, 0.004413425307393226)	(115, 0.0057799251933643506)	(120, 0.007478816943490613)	(125, 0.009694762704524868)	(130, 0.011467519313352274)	(135, 0.013812728577113529)	(140, 0.01721051207736605)	(145, 0.020571363148268008)	(150, 0.02398761286319582)	(155, 0.02827177466786205)	(160, 0.03270366618993056)	(165, 0.037227888785375494)	(170, 0.042435361323806)	(175, 0.047476637930158924)	(180, 0.052628711824563565)	(185, 0.0575407249281895)	(190, 0.06424396085531814)	(195, 0.07166737915478288)	(200, 0.07910926366892293)	(205, 0.08621875631890782)	(210, 0.093863769194476)	(215, 0.10311534274679404)	(220, 0.11258851087521546)	(225, 0.12304038838142706)	(230, 0.13399085368387134)	(235, 0.14717573096202516)	(240, 0.15567018971265648)																		
ERR10710700_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 9.233107337642732e-05)	(10, 0.00014772971740228372)	(15, 0.0003693242935057093)	(20, 0.0010156418071407005)	(25, 0.0016065606767498354)	(30, 0.0029545943480456744)	(35, 0.004044101013887516)	(40, 0.006296979204272343)	(45, 0.008734519541410024)	(50, 0.011061262590495993)	(55, 0.013757329933087672)	(60, 0.01628720134360178)	(65, 0.019925045634633015)	(70, 0.02430153851267567)	(75, 0.028622632746692474)	(80, 0.03257440268720356)	(85, 0.037172490141349636)	(90, 0.04197370595692386)	(95, 0.04697805013392622)	(100, 0.05146534030002059)	(105, 0.05576796831936211)	(110, 0.06125243407792189)	(115, 0.06625677825492424)	(120, 0.07175971022815933)	(125, 0.07637626389698068)	(130, 0.0824516485251496)	(135, 0.08860089801201966)	(140, 0.0942700259173323)	(145, 0.10206276851030278)	(150, 0.10856287607600326)	(155, 0.11530304443248243)	(160, 0.1224494695118179)	(165, 0.1299652188846591)	(170, 0.13729630611074742)	(175, 0.14431346768735592)	(180, 0.15199541299227465)	(185, 0.16106232439783982)	(190, 0.17112641139587043)	(195, 0.18107970110584928)	(200, 0.19254722041920153)	(205, 0.20532584097449907)	(210, 0.21817832638849777)	(215, 0.23012596728340745)	(220, 0.2415011555233833)	(225, 0.255904802970106)	(230, 0.26993912612332294)	(235, 0.28652178690172925)	(240, 0.297306056272096)																		
ERR10710700_2 - polya	(1, 0.00018466214675285465)	(2, 0.0003693242935057093)	(3, 0.0006463175136349913)	(4, 0.0009233107337642732)	(5, 0.0009233107337642732)	(6, 0.0010156418071407005)	(7, 0.0012926350272699826)	(8, 0.0013849661006464099)	(9, 0.0013849661006464099)	(10, 0.002086682258307258)	(15, 0.0034901145736289524)	(20, 0.004875080674275363)	(25, 0.0076265466608928965)	(30, 0.009306972196343874)	(35, 0.010562674794263285)	(40, 0.011652181460105129)	(45, 0.012870951628673969)	(50, 0.014477512305423806)	(55, 0.01645339727567935)	(60, 0.018096890381779755)	(65, 0.01966651862917902)	(70, 0.021623937384759283)	(75, 0.02341516020826197)	(80, 0.025003254670336518)	(85, 0.02672061263513807)	(90, 0.028308707097212615)	(95, 0.03032152449681873)	(100, 0.03214967974967199)	(105, 0.03388550392914883)	(110, 0.03613838211953365)	(115, 0.039019111608878186)	(120, 0.04127198979926301)	(125, 0.04394959092717941)	(130, 0.04694111770457565)	(135, 0.04919399589496047)	(140, 0.05140994165599473)	(145, 0.05368128606105484)	(150, 0.05628502233027009)	(155, 0.05927654910766633)	(160, 0.0625081366758413)	(165, 0.06538886616518583)	(170, 0.06945143339374864)	(175, 0.07390179113049242)	(180, 0.07792742592970467)	(185, 0.08202692558761802)	(190, 0.08644035089501126)	(195, 0.08993046546864021)	(200, 0.094510086708111)	(205, 0.09855418772199852)	(210, 0.10219203201302976)	(215, 0.10558981551328231)	(220, 0.11002170703535079)	(225, 0.11585703087274099)	(230, 0.12100910476714566)	(235, 0.1259949827294727)	(240, 0.12898650950686896)																		
ERR10710700_2 - polyg	(1, 0.06629371068427482)	(2, 0.0665707039044041)	(3, 0.06684769712453338)	(4, 0.06712469034466266)	(5, 0.06814033215180336)	(6, 0.06869431859206193)	(7, 0.06906364288556764)	(8, 0.06943296717907335)	(9, 0.0696176293258262)	(10, 0.07168584536945817)	(15, 0.07436344649737456)	(20, 0.07558221666594342)	(25, 0.07755810163619895)	(30, 0.08138060807398304)	(35, 0.0827101755306036)	(40, 0.08440906728072986)	(45, 0.08577556716670097)	(50, 0.08693893869124396)	(55, 0.08839776965059153)	(60, 0.09002279654201664)	(65, 0.09209101258564861)	(70, 0.09434389077603345)	(75, 0.09600585009680913)	(80, 0.09849878907797266)	(85, 0.10080706591238335)	(90, 0.10305994410276817)	(95, 0.10560828172795758)	(100, 0.10769496398626481)	(105, 0.11039103132885653)	(110, 0.11404734183456304)	(115, 0.11881162522078667)	(120, 0.12429609097934646)	(125, 0.12959589459115342)	(130, 0.13565281300464704)	(135, 0.14117421119255738)	(140, 0.14710186610332404)	(145, 0.15504233841369675)	(150, 0.16372145931108092)	(155, 0.1726221747845685)	(160, 0.18102430246182338)	(165, 0.18916790313362428)	(170, 0.19899192934087617)	(175, 0.20898215148020563)	(180, 0.2179936642417449)	(185, 0.22962737948717474)	(190, 0.240836371795073)	(195, 0.2533564653449166)	(200, 0.264510059008789)	(205, 0.27651309854772455)	(210, 0.28923632045899617)	(215, 0.3023104004490983)	(220, 0.3173049667654301)	(225, 0.3330197154540981)	(230, 0.34910378843627177)	(235, 0.3639690912498765)	(240, 0.3733868607342721)																		
ERR10710702_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 9.932101669958744e-05)	(25, 0.00019864203339917488)	(30, 0.000347623558448556)	(35, 0.0006704168627222152)	(40, 0.0011670219462201524)	(45, 0.0017877783005925741)	(50, 0.0024085346549649954)	(55, 0.004022501176333291)	(60, 0.004866729818279784)	(65, 0.005810279476925866)	(70, 0.007349755235769471)	(75, 0.008963721757137767)	(80, 0.010428706753456682)	(85, 0.012067503528999875)	(90, 0.01400426335464183)	(95, 0.016338307247082136)	(100, 0.018846162918746717)	(105, 0.0206091109651644)	(110, 0.022794173332555318)	(115, 0.025599992054318666)	(120, 0.029051397384629328)	(125, 0.03218000941066634)	(130, 0.03518447016582885)	(135, 0.038983499054588075)	(140, 0.04255905565577321)	(145, 0.046233933273657955)	(150, 0.05023160419581635)	(155, 0.054129954101275156)	(160, 0.05857456959858169)	(165, 0.06403722551705901)	(170, 0.06845701076019066)	(175, 0.07461491379556506)	(180, 0.08164187572706089)	(185, 0.08914061248787973)	(190, 0.09554681806500312)	(195, 0.10324419685922115)	(200, 0.11111538743266344)	(205, 0.1186637847018321)	(210, 0.1260383701917765)	(215, 0.135300054999013)	(220, 0.14515766590644705)	(225, 0.15513942808475562)	(230, 0.16551847432986247)	(235, 0.17636929540429241)	(240, 0.18250236818549193)																		
ERR10710702_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 2.483025417489686e-05)	(45, 0.0001241512708744843)	(50, 0.0001241512708744843)	(55, 0.0001241512708744843)	(60, 0.000173811779224278)	(65, 0.0002979630500987623)	(70, 0.0004221143209732466)	(75, 0.0004966050834979372)	(80, 0.0007697378794218027)	(85, 0.0011421916920452556)	(90, 0.0015394757588436056)	(95, 0.0020609110965164397)	(100, 0.0028058187217633456)	(105, 0.0035258960928353546)	(110, 0.004519106259831229)	(115, 0.005661297951876484)	(120, 0.006530356847997874)	(125, 0.007622888031693337)	(130, 0.00965896887403488)	(135, 0.011347426157927866)	(140, 0.013830451575417551)	(145, 0.01638796775543193)	(150, 0.019665561306518316)	(155, 0.022992815365954496)	(160, 0.026071766883641705)	(165, 0.029994947043275412)	(170, 0.034365071778057255)	(175, 0.03900832930876297)	(180, 0.04380056836451807)	(185, 0.04899009148707151)	(190, 0.05507350375992124)	(195, 0.06232393797899112)	(200, 0.06952471168971122)	(205, 0.07625371057110827)	(210, 0.08588784919096823)	(215, 0.09542266679412864)	(220, 0.10518095668486312)	(225, 0.11747193250143706)	(230, 0.13023468314733405)	(235, 0.14483487260217337)	(240, 0.15394757588436053)																		
ERR10710702_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001241512708744843)	(20, 0.00034762355844855604)	(25, 0.0009187194044711838)	(30, 0.0019615900798168524)	(35, 0.0031286120260370044)	(40, 0.00427080371808226)	(45, 0.0060834122728497305)	(50, 0.008045002352666582)	(55, 0.010627348786855857)	(60, 0.012539278358322917)	(65, 0.015369927334261157)	(70, 0.019392428510594452)	(75, 0.023812213753726087)	(80, 0.02825682925103263)	(85, 0.03180755559804288)	(90, 0.036277001349524315)	(95, 0.041466524472077756)	(100, 0.04635808454453245)	(105, 0.051249644616987125)	(110, 0.05678679129798912)	(115, 0.06311850611258782)	(120, 0.06920191838543754)	(125, 0.07483838608313914)	(130, 0.08169153623541067)	(135, 0.08928959401292912)	(140, 0.09581995086092698)	(145, 0.10200268415047631)	(150, 0.10907930659032192)	(155, 0.11685117614706464)	(160, 0.12536795332905426)	(165, 0.13438133559454182)	(170, 0.14178075133866108)	(175, 0.15208530682124327)	(180, 0.16273748586227402)	(185, 0.17448219608700022)	(190, 0.184414297756959)	(195, 0.19573689366071195)	(200, 0.20777956693553695)	(205, 0.21887869055171585)	(210, 0.22965502086362105)	(215, 0.2423184504928185)	(220, 0.25483289859696645)	(225, 0.2691847855100569)	(230, 0.28415742877751965)	(235, 0.2996763376368302)	(240, 0.3101298746444618)																		
ERR10710702_2 - polya	(1, 0.0003724538126234529)	(2, 0.0003724538126234529)	(3, 0.0004966050834979372)	(4, 0.0006207563543724216)	(5, 0.0007449076252469058)	(6, 0.0007449076252469058)	(7, 0.0009932101669958744)	(8, 0.0009932101669958744)	(9, 0.0011173614378703588)	(10, 0.0015146455046687085)	(15, 0.0028058187217633456)	(20, 0.0043452944806069505)	(25, 0.007076622439845605)	(30, 0.009907271415783849)	(35, 0.011819200987250906)	(40, 0.014376717167265282)	(45, 0.01693423334727966)	(50, 0.018796502410396924)	(55, 0.02110571604866233)	(60, 0.023216287653528567)	(65, 0.0260965971378166)	(70, 0.027983696455108766)	(75, 0.029845965518226027)	(80, 0.03297457754426303)	(85, 0.03610318957030004)	(90, 0.03915731083381235)	(95, 0.041466524472077756)	(100, 0.04437166421054069)	(105, 0.04757476699910239)	(110, 0.05139862614203651)	(115, 0.05576875087681834)	(120, 0.05986574281567634)	(125, 0.06436001882133266)	(130, 0.0704682613483573)	(135, 0.07565778447091073)	(140, 0.07893537802199711)	(145, 0.08216331106473371)	(150, 0.08626030300359169)	(155, 0.09152431688866984)	(160, 0.09939550746211213)	(165, 0.10654662066448244)	(170, 0.1138963759002519)	(175, 0.12221451104884236)	(180, 0.12924147298033817)	(185, 0.1376340988914533)	(190, 0.14404030446857669)	(195, 0.15203564631289349)	(200, 0.16032895120730906)	(205, 0.16944165448949616)	(210, 0.1786040182800331)	(215, 0.18883408300009064)	(220, 0.1984185611116008)	(225, 0.20894658888175707)	(230, 0.22108858317328167)	(235, 0.23069789153896672)	(240, 0.2357632633906457)																		
ERR10710702_2 - polyg	(1, 0.09547232730247843)	(2, 0.09609308365685085)	(3, 0.09745874763647018)	(4, 0.0982036552617171)	(5, 0.09907271415783847)	(6, 0.09981762178308538)	(7, 0.1004383781374578)	(8, 0.10081083195008125)	(9, 0.10143158830445367)	(10, 0.10408842550116766)	(15, 0.10649696015613264)	(20, 0.1076639821023528)	(25, 0.10974972345304412)	(30, 0.11431849022122516)	(35, 0.11806785860163457)	(40, 0.12139511266107075)	(45, 0.1242009313828341)	(50, 0.12750335518809536)	(55, 0.13100442102675586)	(60, 0.13589598109921053)	(65, 0.1400426335464183)	(70, 0.14426377675615076)	(75, 0.1495774511495787)	(80, 0.15484146503465684)	(85, 0.1604779327323584)	(90, 0.16487288772131517)	(95, 0.16981410830211963)	(100, 0.1755747272706957)	(105, 0.1820305933561689)	(110, 0.1890575552876647)	(115, 0.19665561306518314)	(120, 0.20475027592619952)	(125, 0.21349052539576321)	(130, 0.22578150121233714)	(135, 0.23697994584521567)	(140, 0.24725967107362296)	(145, 0.2596003073985467)	(150, 0.27226373702774403)	(155, 0.28512580869034065)	(160, 0.30012328221197837)	(165, 0.31591532386721277)	(170, 0.3305900040845768)	(175, 0.3475987281943812)	(180, 0.36416050772903735)	(185, 0.38246040505593637)	(190, 0.4021011361082798)	(195, 0.42338066393616636)	(200, 0.4446850220182279)	(205, 0.4665108154379622)	(210, 0.49069548300431176)	(215, 0.5136882983702662)	(220, 0.5387916853410869)	(225, 0.5635226184992843)	(230, 0.5909600493625453)	(235, 0.6213026199642693)	(240, 0.6409930115249625)																		
ERR10710703_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00011109666854420037)	(9, 0.00011109666854420037)	(10, 0.00013331600225304044)	(15, 0.00022219333708840074)	(20, 0.00022219333708840074)	(25, 0.0002666320045060809)	(30, 0.0005110446753033217)	(35, 0.0009998700168978032)	(40, 0.0020663980349221265)	(45, 0.003488435392287891)	(50, 0.005243762755286257)	(55, 0.007065748119411143)	(60, 0.007843424799220546)	(65, 0.009309900824003991)	(70, 0.01177624686568524)	(75, 0.014553663579290249)	(80, 0.017153325623224535)	(85, 0.020064058339082584)	(90, 0.022308211043675436)	(95, 0.02521894375953348)	(100, 0.028974011156327455)	(105, 0.03295127189020983)	(110, 0.0367063392870038)	(115, 0.04172790870520166)	(120, 0.04599402077729896)	(125, 0.049815746175219444)	(130, 0.05448180625407586)	(135, 0.0586590409913378)	(140, 0.0633695397376119)	(145, 0.06883549582998653)	(150, 0.07403481991785513)	(155, 0.08005625935295078)	(160, 0.08658874346334974)	(165, 0.09194360288718022)	(170, 0.09752065564809907)	(175, 0.10256444440000578)	(180, 0.10929690251378432)	(185, 0.11474063927245012)	(190, 0.1222063353986204)	(195, 0.130183076200094)	(200, 0.13913746768475654)	(205, 0.14951389652678487)	(210, 0.15911264868900377)	(215, 0.16791150483770442)	(220, 0.17782132767184708)	(225, 0.18848660785209032)	(230, 0.19779650867609433)	(235, 0.20846178885633754)	(240, 0.2155275369757487)																		
ERR10710703_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 8.88773348353603e-05)	(50, 0.00013331600225304044)	(55, 0.00022219333708840074)	(60, 0.0003332900056326011)	(65, 0.00044438667417680147)	(70, 0.0004666060078856416)	(75, 0.0005999220101386819)	(80, 0.0008443346809359229)	(85, 0.0010887473517331634)	(90, 0.0012665020214038844)	(95, 0.0016886693618718457)	(100, 0.0022663720383016873)	(105, 0.0028218553810226894)	(110, 0.004666060078856416)	(115, 0.0065324841103989815)	(120, 0.008243372805979667)	(125, 0.010687499513952075)	(130, 0.013042748887089122)	(135, 0.01522024359055545)	(140, 0.01826429230866654)	(145, 0.022397088378510795)	(150, 0.025818865769672166)	(155, 0.03030717117885786)	(160, 0.03446218658241095)	(165, 0.03908380799384968)	(170, 0.04437200941655363)	(175, 0.05097115152807913)	(180, 0.05697037162946596)	(185, 0.06376948774437101)	(190, 0.0713018418716678)	(195, 0.07836758999107894)	(200, 0.08696647213640005)	(205, 0.09718736564246648)	(210, 0.10638616979792626)	(215, 0.11607379929498055)	(220, 0.12856106483934865)	(225, 0.14069282104437536)	(230, 0.15493541395174182)	(235, 0.1683336721781724)	(240, 0.1776435730021764)																		
ERR10710703_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.2219333708840074e-05)	(15, 0.00013331600225304044)	(20, 0.0003555093393414412)	(25, 0.0007776766798094025)	(30, 0.0017331080292895256)	(35, 0.00302182938440225)	(40, 0.005332640090121617)	(45, 0.007954521467764746)	(50, 0.011598492196014519)	(55, 0.014931392252340529)	(60, 0.016864474285009614)	(65, 0.020464006345841706)	(70, 0.025752207768545643)	(75, 0.030218293844022498)	(80, 0.03517320526109383)	(85, 0.040061458677038655)	(90, 0.04481639609073043)	(95, 0.0499046235100548)	(100, 0.05645932695416263)	(105, 0.0635472944072826)	(110, 0.07005755918397275)	(115, 0.07825649332253473)	(120, 0.0854999961116166)	(125, 0.09132146154333269)	(130, 0.09825389366049081)	(135, 0.10498635177426936)	(140, 0.1123853898993131)	(145, 0.12133978138397564)	(150, 0.12984978619446136)	(155, 0.13842644900607365)	(160, 0.14795854316716606)	(165, 0.15631301264168992)	(170, 0.16515630745780824)	(175, 0.17375518960312936)	(180, 0.1839094251080693)	(185, 0.1910640505623158)	(190, 0.20092943472904076)	(195, 0.21066150289351274)	(200, 0.22197114375131233)	(205, 0.2348139186350219)	(210, 0.24787888685581985)	(215, 0.2595884757203786)	(220, 0.27245346993779695)	(225, 0.2856739734945568)	(230, 0.2977835103658747)	(235, 0.3112928652608494)	(240, 0.32006950207584123)																		
