Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR10710700_1	0.0	0.0
ERR10710700_2	0.0	0.0
ERR10710702_1	0.0	0.0
ERR10710702_2	0.0	0.0
ERR10710703_1	0.0	0.0
ERR10710703_2	0.0	0.0
ERR10710705_1	0.0	0.0
ERR10710705_2	0.0	0.0
ERR10710706_1	0.0	0.0
ERR10710706_2	0.0	0.0
ERR10710707_1	0.0	0.0
ERR10710707_2	0.0	0.0
ERR10710709_1	0.0	0.0
ERR10710709_2	0.0	0.0
ERR10782663_1	0.0	0.0
ERR10782663_2	2.0221596904678156	0.0
ERR10782668_1	0.0	0.0
ERR10782668_2	1.941953251888991	0.0
ERR10782671_1	0.0	0.0
ERR10782671_2	4.201477729622474	0.0
ERR10782676_1	3.2875613911997594	0.0
ERR10782676_2	0.0	0.0
ERR10782680_1	4.874304035526445	0.0
ERR10782680_2	0.0	0.0
ERR10782688_1	0.0	0.0
ERR10782688_2	2.332325059989971	0.0
ERR10782695_1	0.0	0.0
ERR10782695_2	2.1410369016980795	0.0
ERR10782717_1	0.0	0.0
ERR10782717_2	0.0	0.0
ERR10782743_1	1.1053938225544724	0.0
ERR10782743_2	0.0	0.0
ERR10783123_1	0.7881325800971832	0.0
ERR10783123_2	0.0	0.0
ERR10783128_1	0.0	0.0
ERR10783128_2	2.6696778159368195	0.0
ERR10783132_1	1.5045524462830446	0.0
ERR10783132_2	0.0	0.0
ERR10783138_1	6.347779603634995	0.7048248826941732
ERR10783138_2	0.21184343384347346	0.0
ERR10783144_1	9.416568164222426	0.36464489736098393
ERR10783144_2	0.0	0.0
ERR10783153_1	0.0	0.0
ERR10783153_2	2.4868809680841912	0.25568969307678335
ERR10783156_1	17.644888571406142	0.7480905244483509
ERR10783156_2	0.0	0.0
ERR10783159_1	0.0	0.0
ERR10783159_2	3.1356480339270116	0.0
ERR10783163_1	7.786878473580136	0.10355331067645679
ERR10783163_2	0.0	0.0
ERR10783166_1	0.7235012768819832	0.1096984368461601
ERR10783166_2	0.0	0.0
ERR10783178_1	0.0	0.0
ERR10783178_2	30.361399851964443	3.1301186347391834
ERR10787957_1	0.2443981148933934	0.0
ERR10787957_2	9.897685663729218	0.6762557157623643
ERR10787959_1	19.165288397017267	0.5060061053407559
ERR10787959_2	0.0	0.0
ERR10787961_1	2.7098933378277517	2.4873508500985455
ERR10787961_2	0.0	0.0
ERR10788033_1	0.0	0.0
ERR10788033_2	4.020580177737899	0.0
ERR10788115_1	0.0	0.0
ERR10788115_2	5.776695042837982	0.0
ERR10788118_1	0.0	0.0
ERR10788118_2	5.6596461380592915	0.0
ERR10788121_1	0.0	0.0
ERR10788121_2	2.9055287185406065	0.0
ERR10794274_1	3.555397105770633	0.0
ERR10794274_2	0.0	0.0
ERR10794308_1	20.043470385799676	2.2988393211178924
ERR10794308_2	0.0	0.0
ERR10794316_1	0.0	0.0
ERR10794316_2	9.273455160829975	0.0
ERR10794327_1	0.0	0.0
ERR10794327_2	0.8486403308641496	0.4084832480607362
ERR10802836_1	32.05151367048214	2.869498574664206
ERR10802836_2	0.3497254873621494	0.3934649447266379
ERR10802837_1	0.0	0.0
ERR10802837_2	4.832011347926427	0.0
