Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR10710700_1	(1, 0.0)	(2, 0.02483705873825895)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0033239186415513836)	(7, 0.0004616553668821366)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.8466214675285465e-05)	(65, 0.0)	(70, 0.00022159457610342558)	(75, 0.0)	(80, 0.00016619593207756918)	(85, 0.0)	(90, 0.0)	(95, 7.386485870114186e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0016250268914251211)	(120, 0.0)	(125, 0.001107972880517128)	(130, 0.00020312836142814014)	(135, 0.00033239186415513837)	(140, 1.8466214675285465e-05)	(145, 0.0011633715245429842)	(150, 0.00018466214675285465)	(155, 0.004782749600898936)	(160, 0.003286986212200813)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0004247229375315657)	(185, 0.0)	(190, 0.0)	(195, 0.001680425535450977)	(200, 0.0)	(205, 0.0020312836142814014)	(210, 0.0)	(215, 0.0013111012419452681)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0030469254214221014)										
ERR10710700_2	(1, 0.0)	(2, 0.005724526549338494)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.693242935057093e-05)	(25, 0.045759279965357384)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)										
ERR10710702_1	(1, 0.0)	(2, 0.020857413506913364)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0017381177922427802)	(7, 0.0001241512708744843)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.4830254174896863e-05)	(65, 0.0)	(70, 0.0003227933042736592)	(75, 0.0)	(80, 0.0001986420333991749)	(85, 0.0)	(90, 0.0)	(95, 0.00014898152504938116)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.002011250588166646)	(120, 0.0)	(125, 0.0013160034712695336)	(130, 0.00034762355844855604)	(135, 0.0004966050834979372)	(140, 2.4830254174896863e-05)	(145, 0.0015146455046687085)	(150, 0.00017381177922427802)	(155, 0.004941220580804475)	(160, 0.003923180159633704)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0006207563543724215)	(185, 0.0)	(190, 0.0)	(195, 0.002011250588166646)	(200, 0.0)	(205, 0.002483025417489686)	(210, 0.0)	(215, 0.0017132875380678834)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0039728406679834976)										
ERR10710702_2	(1, 0.0)	(2, 0.007573227523343542)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.4830254174896863e-05)	(15, 0.0)	(20, 4.9660508349793726e-05)	(25, 0.06480696339648082)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)										
ERR10710703_1	(1, 0.0)	(2, 0.020441787012132867)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0022219333708840073)	(7, 0.0004443866741768014)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.2219333708840074e-05)	(65, 0.0)	(70, 0.0002666320045060809)	(75, 0.0)	(80, 0.0001777546696707206)	(85, 0.0)	(90, 0.0)	(95, 0.00011109666854420035)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0016886693618718455)	(120, 0.0)	(125, 0.0008443346809359227)	(130, 0.00019997400337956066)	(135, 0.0003332900056326011)	(140, 2.2219333708840074e-05)	(145, 0.0010443086843154835)	(150, 0.00015553533596188052)	(155, 0.004466086075476854)	(160, 0.00306626805181993)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0003999480067591213)	(185, 0.0)	(190, 0.0)	(195, 0.0016220113607453251)	(200, 0.0)	(205, 0.002133056036048647)	(210, 0.0)	(215, 0.0013331600225304043)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0026663200450608086)										
ERR10710703_2	(1, 0.0)	(2, 0.00622141343847522)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.2219333708840074e-05)	(15, 0.0)	(20, 4.443866741768015e-05)	(25, 0.07705664930225738)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)										
ERR10710705_1	(1, 0.0)	(2, 0.021308561133423914)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0021547983168630925)	(7, 0.0007182661056210309)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.3942203520701027e-05)	(65, 0.0)	(70, 0.00014365322112420617)	(75, 0.0)	(80, 0.00011971101760350513)	(85, 0.0)	(90, 0.0)	(95, 7.182661056210309e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0010773991584315462)	(120, 0.0)	(125, 0.0004070174598519174)	(130, 0.00011971101760350513)	(135, 0.00011971101760350513)	(140, 0.0)	(145, 0.0006943239021003298)	(150, 0.00014365322112420617)	(155, 0.003447677306980948)	(160, 0.001915376281656082)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0003830752563312164)	(185, 0.0)	(190, 0.0)	(195, 0.0010773991584315462)	(200, 0.0)	(205, 0.0013168211936385565)	(210, 0.0)	(215, 0.000790092716183134)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0017956652640525772)										
ERR10710705_2	(1, 0.0)	(2, 0.003830752563312164)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 4.788440704140205e-05)	(25, 0.060214641854563086)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)										
ERR10710706_1	(1, 0.0)	(2, 0.02444520496193215)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.002814902389555823)	(7, 0.00088891654407026)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.9630551469008665e-05)	(65, 0.0)	(70, 0.0002963055146900867)	(75, 0.0)	(80, 0.000266674963221078)	(85, 0.0)	(90, 0.0)	(95, 0.00017778330881405198)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0018370941910785372)	(120, 0.0)	(125, 0.0010074387499462946)	(130, 0.0002963055146900867)	(135, 0.00041482772056612136)	(140, 5.926110293801733e-05)	(145, 0.001244483161698364)	(150, 0.000266674963221078)	(155, 0.004118646654192205)	(160, 0.003288991213059962)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0006815026837871993)	(185, 0.0)	(190, 0.0)	(195, 0.001688941433733494)	(200, 0.0)	(205, 0.002014877499892589)	(210, 0.0)	(215, 0.0013926359190434073)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0033334370402634747)										
ERR10710706_2	(1, 0.0)	(2, 0.006666874080526949)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.9630551469008665e-05)	(15, 0.0)	(20, 5.926110293801733e-05)	(25, 0.06820952948165794)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)										
