Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR10710700_1	(1, 35.72658830220699)	(2, 36.09448423400757)	(3, 36.336977948569746)	(4, 36.41578067307506)	(5, 36.430900809651185)	(6, 36.49743827436917)	(7, 36.462072703333796)	(8, 36.479516813026805)	(9, 36.5600553617116)	(10, 36.52736462187194)	(15, 36.497821263661535)	(20, 36.478217530162254)	(25, 36.43403267966011)	(30, 36.39430077216477)	(35, 36.37849997091571)	(40, 36.35444624900398)	(45, 36.335996653921896)	(50, 36.310651774280075)	(55, 36.27859664154954)	(60, 36.26170393302673)	(65, 36.232375336893)	(70, 36.206889744695346)	(75, 36.16626887362553)	(80, 36.11816604635574)	(85, 36.09270870746654)	(90, 36.0654928309538)	(95, 36.02641610475514)	(100, 35.974316265318876)	(105, 35.954669690201555)	(110, 35.8853150197727)	(115, 35.84038228757621)	(120, 35.773796072051475)	(125, 35.77110702187046)	(130, 35.648520348383606)	(135, 35.62211569268156)	(140, 35.530459190127225)	(145, 35.527070270410015)	(150, 35.40697616658002)	(155, 35.317249383459256)	(160, 35.26603426036809)	(165, 35.1504985416307)	(170, 35.068775200612336)	(175, 34.98260445645159)	(180, 34.87875877491438)	(185, 34.81014589232905)	(190, 34.78093861922573)	(195, 34.576253371238316)	(200, 34.48623371395279)	(205, 34.31687119538271)	(210, 34.28664347925644)	(215, 34.063851369131314)	(220, 33.81542999965838)	(225, 33.74302544921376)	(230, 33.5019379368991)	(235, 33.29962135026808)	(240, 33.136485639286505)	(245, 33.201723082491355)	(250, 32.406229946845)										
ERR10710700_2	(1, 35.211382759387995)	(2, 35.79311653381764)	(3, 35.861092516658836)	(4, 35.849246439944636)	(5, 35.830039730060875)	(6, 35.90841403838572)	(7, 35.875413066139515)	(8, 35.892167462714404)	(9, 35.9898574315896)	(10, 35.93594901108804)	(15, 35.88036385829396)	(20, 35.82552030868125)	(25, 35.72951704385449)	(30, 35.694698257435654)	(35, 35.67320321422933)	(40, 35.614565965473716)	(45, 35.56684335756408)	(50, 35.51716591616893)	(55, 35.4706598624821)	(60, 35.41814453321564)	(65, 35.38011705733483)	(70, 35.31989946992731)	(75, 35.264085705395544)	(80, 35.218768137285224)	(85, 35.18233097181225)	(90, 35.10126761330639)	(95, 35.03952102332376)	(100, 34.97851086598237)	(105, 34.9187911277225)	(110, 34.84394349707634)	(115, 34.79747326784597)	(120, 34.70119559506916)	(125, 34.63993872909971)	(130, 34.59212600606246)	(135, 34.49786521325246)	(140, 34.420231769460386)	(145, 34.34652830547551)	(150, 34.234859781415416)	(155, 34.130397882294496)	(160, 34.08789678124645)	(165, 34.002061014219905)	(170, 33.8891763052613)	(175, 33.76608531945166)	(180, 33.68967655501685)	(185, 33.55387268837616)	(190, 33.4419293870417)	(195, 33.36907980082341)	(200, 33.25515876789723)	(205, 33.080544457873486)	(210, 33.03155765290718)	(215, 32.82160897975088)	(220, 32.659214502626355)	(225, 32.53018589015003)	(230, 32.45406667596133)	(235, 32.16429003406093)	(240, 32.15630745878111)	(245, 31.97694068374853)	(250, 31.255872487094425)										
ERR10710702_1	(1, 34.144160731201325)	(2, 34.3455142283564)	(3, 35.10719717332386)	(4, 35.16828704767036)	(5, 35.40673942758815)	(6, 35.594294752498236)	(7, 35.58268785018418)	(8, 35.60613133466341)	(9, 35.78085438421591)	(10, 35.73739399033359)	(15, 35.66380257961511)	(20, 35.59847020804028)	(25, 35.47550334028995)	(30, 35.35625256837942)	(35, 35.30481322062054)	(40, 35.235763263390645)	(45, 35.169581697123036)	(50, 35.0724621307586)	(55, 34.98583235357289)	(60, 34.91997432551718)	(65, 34.83195926845106)	(70, 34.74882881898621)	(75, 34.63588915277931)	(80, 34.51171007202015)	(85, 34.43153814734025)	(90, 34.35935163240298)	(95, 34.23489395619198)	(100, 34.12953372507197)	(105, 34.072222518805816)	(110, 33.91168499346344)	(115, 33.80817635439725)	(120, 33.654144107346156)	(125, 33.66430787528757)	(130, 33.392029985014936)	(135, 33.32770224552404)	(140, 33.14894701099608)	(145, 33.139130618310574)	(150, 32.91143867734202)	(155, 32.74517132254624)	(160, 32.67151063541862)	(165, 32.46775158323908)	(170, 32.326845850057545)	(175, 32.191493651524766)	(180, 32.02100093237605)	(185, 31.914861776182573)	(190, 31.873938041066758)	(195, 31.57925183961146)	(200, 31.444919916222723)	(205, 31.218038931355522)	(210, 31.182385665990875)	(215, 30.876292942372704)	(220, 30.54478645360653)	(225, 30.471190076837225)	(230, 30.15538499929854)	(235, 29.9271120303823)	(240, 29.749142176793896)	(245, 29.88134391267696)	(250, 29.364781264083412)										
ERR10710702_2	(1, 33.4987007569503)	(2, 32.93299928364717)	(3, 33.62975732151082)	(4, 33.901623774471766)	(5, 33.90056103959308)	(6, 34.32820257514566)	(7, 34.30711424027492)	(8, 34.39094366139479)	(9, 34.587599274459976)	(10, 34.5217313143026)	(15, 34.45612754804965)	(20, 34.35989144212875)	(25, 34.20573181587373)	(30, 34.12995335636752)	(35, 34.08365685085335)	(40, 33.979143331400714)	(45, 33.88647880924033)	(50, 33.80429662718243)	(55, 33.721672963205286)	(60, 33.63840619564502)	(65, 33.57258168843246)	(70, 33.48118450244515)	(75, 33.38598133509794)	(80, 33.31946108416339)	(85, 33.24254688883123)	(90, 33.1275813221862)	(95, 33.03105917173721)	(100, 32.9299121381456)	(105, 32.852082699644555)	(110, 32.74301729799657)	(115, 32.6859861769975)	(120, 32.53408213103174)	(125, 32.44929922815155)	(130, 32.388686094685205)	(135, 32.247312062909934)	(140, 32.16280576906125)	(145, 32.04799414999212)	(150, 31.90515612643069)	(155, 31.771809219225077)	(160, 31.72695435826829)	(165, 31.6198272062612)	(170, 31.48060049486697)	(175, 31.330160937292437)	(180, 31.237504360813386)	(185, 31.075156213336577)	(190, 30.939534358243456)	(195, 30.86249501843026)	(200, 30.73736344912095)	(205, 30.53874376295053)	(210, 30.49426979809279)	(215, 30.262110397793084)	(220, 30.081038748853153)	(225, 29.93956142322051)	(230, 29.876340119855637)	(235, 29.565088910932634)	(240, 29.561869916781404)	(245, 29.388797582526458)	(250, 28.844006411171627)										
ERR10710703_1	(1, 35.03530429932998)	(2, 35.31971843660324)	(3, 35.86823157433978)	(4, 35.93062568532758)	(5, 35.86099251541744)	(6, 36.01972299156665)	(7, 36.020102942173075)	(8, 36.06592365214744)	(9, 36.17580714507114)	(10, 36.1163962018271)	(15, 36.058812576587265)	(20, 36.01655140387305)	(25, 35.93382082551491)	(30, 35.8713253943654)	(35, 35.82037912849107)	(40, 35.77164413070746)	(45, 35.73584122952906)	(50, 35.68137719874194)	(55, 35.64041719020972)	(60, 35.60032173595211)	(65, 35.56016851142685)	(70, 35.50999947784565)	(75, 35.4310826259253)	(80, 35.34690290262266)	(85, 35.301442590241045)	(90, 35.24783622573509)	(95, 35.171090869298105)	(100, 35.08578173726304)	(105, 35.05193947009111)	(110, 34.92861239150021)	(115, 34.85631423470504)	(120, 34.7397062826277)	(125, 34.74376575489631)	(130, 34.53446163109906)	(135, 34.497432222699935)	(140, 34.34958388742797)	(145, 34.344288575818474)	(150, 34.1582763129682)	(155, 34.02254062527427)	(160, 33.948856648635676)	(165, 33.78709456659523)	(170, 33.669340096898516)	(175, 33.54498692947694)	(180, 33.4115127255679)	(185, 33.31103778730987)	(190, 33.29359649912178)	(195, 33.0179134490294)	(200, 32.89166741656918)	(205, 32.67940123339521)	(210, 32.64815773949387)	(215, 32.367492003817276)	(220, 32.053174642851985)	(225, 31.971721231795424)	(230, 31.67631385697637)	(235, 31.449017183321722)	(240, 31.26990180165467)	(245, 31.39223523164211)	(250, 30.721616189895315)										
ERR10710703_2	(1, 35.205711035343185)	(2, 35.86390769200004)	(3, 35.9499920565882)	(4, 35.91805843018185)	(5, 35.88744463219781)	(6, 35.95407819205725)	(7, 35.91709188916552)	(8, 35.93677377496481)	(9, 36.043786529973325)	(10, 35.9915917597379)	(15, 35.93640182331852)	(20, 35.87898039921477)	(25, 35.769783039315996)	(30, 35.74165558477398)	(35, 35.71809731401584)	(40, 35.6571239072254)	(45, 35.60101786767721)	(50, 35.552954338158266)	(55, 35.51285955048066)	(60, 35.45244784844637)	(65, 35.413029417286864)	(70, 35.35432282692139)	(75, 35.29864961999384)	(80, 35.253220859066104)	(85, 35.20844712409609)	(90, 35.127142582575374)	(95, 35.06504398872591)	(100, 34.996685764183994)	(105, 34.9424639241343)	(110, 34.86762387556284)	(115, 34.82019048634789)	(120, 34.71614090168278)	(125, 34.65366768986698)	(130, 34.60913570124772)	(135, 34.5022744820951)	(140, 34.43361807409481)	(145, 34.361243927178364)	(150, 34.238864280976806)	(155, 34.13960962852607)	(160, 34.092324664460286)	(165, 33.9986652846241)	(170, 33.8915285457335)	(175, 33.76718337727207)	(180, 33.68215176471504)	(185, 33.550242690672434)	(190, 33.43667078835307)	(195, 33.363476303636084)	(200, 33.25055942727445)	(205, 33.07372685995265)	(210, 33.01259614027954)	(215, 32.81233106362839)	(220, 32.638929161431236)	(225, 32.50056625971957)	(230, 32.43147524155193)	(235, 32.13266253164866)	(240, 32.12675841029555)	(245, 31.946360973073503)	(250, 31.227620409346784)										
ERR10710705_1	(1, 35.48188473026115)	(2, 35.77294770424196)	(3, 36.08251560732392)	(4, 36.05728531325381)	(5, 36.12884137691612)	(6, 36.3014838180632)	(7, 36.28632840323459)	(8, 36.29365711173228)	(9, 36.3785202521114)	(10, 36.34031902986192)	(15, 36.305320316755356)	(20, 36.271427254607374)	(25, 36.20971909809719)	(30, 36.161939079063146)	(35, 36.12365549563354)	(40, 36.09083360767109)	(45, 36.06784478269457)	(50, 36.02798197152075)	(55, 35.98982145101725)	(60, 35.96083534348084)	(65, 35.92039576462419)	(70, 35.87904757914395)	(75, 35.81840006224973)	(80, 35.7484311272588)	(85, 35.70480148920506)	(90, 35.65922511058305)	(95, 35.59590827741832)	(100, 35.529814627489245)	(105, 35.4996613375312)	(110, 35.39771974453669)	(115, 35.32485188754347)	(120, 35.23627650850845)	(125, 35.23701751970743)	(130, 35.055659158790675)	(135, 35.01892272055258)	(140, 34.89287731416361)	(145, 34.88168888303635)	(150, 34.726216593144144)	(155, 34.59555345396213)	(160, 34.534601871083204)	(165, 34.384304688482004)	(170, 34.27542320837498)	(175, 34.166556093590074)	(180, 34.03460725807899)	(185, 33.94410668645889)	(190, 33.908611412051314)	(195, 33.65022978529829)	(200, 33.54480819302204)	(205, 33.339950319927695)	(210, 33.30652437017041)	(215, 33.04192064356643)	(220, 32.74711430606516)	(225, 32.675366704774675)	(230, 32.39070300295088)	(235, 32.1721734133801)	(240, 31.994601751372194)	(245, 32.08269086425369)	(250, 31.32737611406066)										
ERR10710705_2	(1, 34.76327146268907)	(2, 35.41986724048148)	(3, 35.49965942215492)	(4, 35.49014479047579)	(5, 35.471445929526126)	(6, 35.582410860183515)	(7, 35.54368674020913)	(8, 35.57154349400547)	(9, 35.65864523041378)	(10, 35.61012874919943)	(15, 35.54040043335389)	(20, 35.47591115048273)	(25, 35.359791223985304)	(30, 35.31390670920398)	(35, 35.27858429750582)	(40, 35.20750133178507)	(45, 35.14568208345055)	(50, 35.090133298218106)	(55, 35.03315037499476)	(60, 34.97314546684304)	(65, 34.92625897084438)	(70, 34.8557041701333)	(75, 34.7848194458577)	(80, 34.72849972167189)	(85, 34.679022679252284)	(90, 34.582134806576924)	(95, 34.51486248196853)	(100, 34.438687009558926)	(105, 34.370205124828665)	(110, 34.28829597351992)	(115, 34.23274048447049)	(120, 34.13250644943108)	(125, 34.0533362862051)	(130, 34.00742998401858)	(135, 33.892336938630145)	(140, 33.81446300630279)	(145, 33.737672219262706)	(150, 33.604560750348654)	(155, 33.49882096618762)	(160, 33.4545202281692)	(165, 33.3498463509089)	(170, 33.22947404964416)	(175, 33.10265842256792)	(180, 33.01534599476862)	(185, 32.877927323441206)	(190, 32.754675253936995)	(195, 32.67685160023703)	(200, 32.56007158718853)	(205, 32.37930076794618)	(210, 32.33091836307155)	(215, 32.117661804404165)	(220, 31.941273366094247)	(225, 31.81354314684352)	(230, 31.729884778145554)	(235, 31.439943735821725)	(240, 31.42107632175928)	(245, 31.25350819122638)	(250, 30.543483231479208)										
ERR10710706_1	(1, 34.7791901673978)	(2, 35.05928628890677)	(3, 35.6160636108679)	(4, 35.690803713893324)	(5, 35.82866578071318)	(6, 35.95833351852428)	(7, 35.90593633283406)	(8, 35.95691865969164)	(9, 36.095980763845986)	(10, 36.01939704790816)	(15, 35.954148203129286)	(20, 35.900880175531384)	(25, 35.80701651458786)	(30, 35.727571672600185)	(35, 35.67359725265527)	(40, 35.62424342090643)	(45, 35.57540930903035)	(50, 35.52121147472736)	(55, 35.467043270975836)	(60, 35.422930787476346)	(65, 35.35925739911907)	(70, 35.301254409396435)	(75, 35.223497916231466)	(80, 35.12137118339977)	(85, 35.06453415587744)	(90, 34.99821742602362)	(95, 34.90926473268057)	(100, 34.819008887683914)	(105, 34.77369666315544)	(110, 34.64351661310944)	(115, 34.557508603971385)	(120, 34.42752767123125)	(125, 34.43210973971041)	(130, 34.20018252419705)	(135, 34.1493157564902)	(140, 33.99342586954557)	(145, 33.97550946029432)	(150, 33.783122734188765)	(155, 33.63222085427843)	(160, 33.55764194145299)	(165, 33.37894571534818)	(170, 33.24317734329512)	(175, 33.12553931307493)	(180, 32.962898697589104)	(185, 32.86669866766225)	(190, 32.83281613205744)	(195, 32.53785199243235)	(200, 32.4068882143)	(205, 32.18704018939849)	(210, 32.1607442601918)	(215, 31.87074027488263)	(220, 31.5420221962461)	(225, 31.47057878837712)	(230, 31.15944851617606)	(235, 30.932655682621238)	(240, 30.746189437004706)	(245, 30.860387360199354)	(250, 30.199832142925928)										
ERR10710706_2	(1, 34.74320386263869)	(2, 35.34604187685839)	(3, 35.446330922887974)	(4, 35.44274858921537)	(5, 35.382308190328885)	(6, 35.520469525718575)	(7, 35.479591216911935)	(8, 35.50471792455765)	(9, 35.630191457808316)	(10, 35.56584604854373)	(15, 35.48260168094119)	(20, 35.421040654598144)	(25, 35.29796126990617)	(30, 35.25964600380159)	(35, 35.210884783082136)	(40, 35.13838119408159)	(45, 35.07712951069589)	(50, 35.013380564432374)	(55, 34.95141122909009)	(60, 34.88335577847607)	(65, 34.83047057760315)	(70, 34.75857974840699)	(75, 34.690365478037094)	(80, 34.623606067744326)	(85, 34.57937891401066)	(90, 34.48468322718188)	(95, 34.40281282825096)	(100, 34.327774049266715)	(105, 34.251423229463434)	(110, 34.16327885756446)	(115, 34.11303077577229)	(120, 33.99041066462809)	(125, 33.923449173974305)	(130, 33.86594634796045)	(135, 33.74336594175522)	(140, 33.667652771419554)	(145, 33.57879904411841)	(150, 33.44438834393366)	(155, 33.322738929655586)	(160, 33.2829771000283)	(165, 33.177055582469976)	(170, 33.05354951783685)	(175, 32.92255877590266)	(180, 32.83693774176678)	(185, 32.68020338410529)	(190, 32.572569813283074)	(195, 32.49049022265878)	(200, 32.372234099134936)	(205, 32.175260267356464)	(210, 32.13748546251069)	(215, 31.924047711113975)	(220, 31.73885202354444)	(225, 31.604683701270705)	(230, 31.52382666720002)	(235, 31.23964834461517)	(240, 31.221380517023494)	(245, 31.045266000868175)	(250, 30.3682396044914)										
