Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
ERR10710700_1	(16.0, 2.0)	(17.0, 4.0)	(18.0, 4.0)	(19.0, 13.0)	(20.0, 33.0)	(21.0, 85.0)	(22.0, 194.0)	(23.0, 362.0)	(24.0, 720.0)	(25.0, 1382.0)	(26.0, 2495.0)	(27.0, 4452.0)	(28.0, 7162.0)	(29.0, 10910.0)	(30.0, 15736.0)	(31.0, 22376.0)	(32.0, 32989.0)	(33.0, 54169.0)	(34.0, 103124.0)	(35.0, 263392.0)	(36.0, 561651.0)	(37.0, 1804.0)															
ERR10710700_2	(12.0, 4.0)	(13.0, 18.0)	(14.0, 25.0)	(15.0, 33.0)	(16.0, 62.0)	(17.0, 108.0)	(18.0, 284.0)	(19.0, 724.0)	(20.0, 1439.0)	(21.0, 2294.0)	(22.0, 3213.0)	(23.0, 4401.0)	(24.0, 6334.0)	(25.0, 8582.0)	(26.0, 10966.0)	(27.0, 14018.0)	(28.0, 18228.0)	(29.0, 23633.0)	(30.0, 31114.0)	(31.0, 42235.0)	(32.0, 57865.0)	(33.0, 84156.0)	(34.0, 130765.0)	(35.0, 242700.0)	(36.0, 397827.0)	(37.0, 2031.0)											
ERR10710702_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 8.0)	(19.0, 17.0)	(20.0, 48.0)	(21.0, 150.0)	(22.0, 354.0)	(23.0, 847.0)	(24.0, 1933.0)	(25.0, 3796.0)	(26.0, 7268.0)	(27.0, 12619.0)	(28.0, 20168.0)	(29.0, 31576.0)	(30.0, 46269.0)	(31.0, 67879.0)	(32.0, 97961.0)	(33.0, 141098.0)	(34.0, 179899.0)	(35.0, 160563.0)	(36.0, 33004.0)	(37.0, 8.0)															
ERR10710702_2	(12.0, 4.0)	(13.0, 17.0)	(14.0, 27.0)	(15.0, 40.0)	(16.0, 85.0)	(17.0, 228.0)	(18.0, 665.0)	(19.0, 1950.0)	(20.0, 3925.0)	(21.0, 6277.0)	(22.0, 8542.0)	(23.0, 11661.0)	(24.0, 14904.0)	(25.0, 17960.0)	(26.0, 21562.0)	(27.0, 26501.0)	(28.0, 31454.0)	(29.0, 38738.0)	(30.0, 47150.0)	(31.0, 59683.0)	(32.0, 74665.0)	(33.0, 96966.0)	(34.0, 124538.0)	(35.0, 147941.0)	(36.0, 69937.0)	(37.0, 49.0)											
ERR10710703_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 16.0)	(20.0, 15.0)	(21.0, 102.0)	(22.0, 252.0)	(23.0, 535.0)	(24.0, 1166.0)	(25.0, 2450.0)	(26.0, 4765.0)	(27.0, 8310.0)	(28.0, 13300.0)	(29.0, 19990.0)	(30.0, 28933.0)	(31.0, 42263.0)	(32.0, 62473.0)	(33.0, 99442.0)	(34.0, 166607.0)	(35.0, 275760.0)	(36.0, 173680.0)	(37.0, 52.0)														
ERR10710703_2	(12.0, 3.0)	(13.0, 19.0)	(14.0, 29.0)	(15.0, 47.0)	(16.0, 49.0)	(17.0, 75.0)	(18.0, 162.0)	(19.0, 422.0)	(20.0, 862.0)	(21.0, 1564.0)	(22.0, 2298.0)	(23.0, 3352.0)	(24.0, 4849.0)	(25.0, 6574.0)	(26.0, 8533.0)	(27.0, 11487.0)	(28.0, 14987.0)	(29.0, 19979.0)	(30.0, 26479.0)	(31.0, 35969.0)	(32.0, 49854.0)	(33.0, 72282.0)	(34.0, 111115.0)	(35.0, 202390.0)	(36.0, 325093.0)	(37.0, 1644.0)											
ERR10710705_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 6.0)	(20.0, 30.0)	(21.0, 79.0)	(22.0, 217.0)	(23.0, 468.0)	(24.0, 878.0)	(25.0, 1800.0)	(26.0, 3449.0)	(27.0, 6290.0)	(28.0, 9930.0)	(29.0, 14534.0)	(30.0, 21251.0)	(31.0, 29491.0)	(32.0, 42534.0)	(33.0, 65555.0)	(34.0, 112788.0)	(35.0, 233562.0)	(36.0, 292144.0)	(37.0, 326.0)													
ERR10710705_2	(12.0, 2.0)	(13.0, 18.0)	(14.0, 17.0)	(15.0, 51.0)	(16.0, 62.0)	(17.0, 120.0)	(18.0, 356.0)	(19.0, 1024.0)	(20.0, 1960.0)	(21.0, 3256.0)	(22.0, 4586.0)	(23.0, 6421.0)	(24.0, 8214.0)	(25.0, 10915.0)	(26.0, 13038.0)	(27.0, 16283.0)	(28.0, 20167.0)	(29.0, 24819.0)	(30.0, 29935.0)	(31.0, 38203.0)	(32.0, 49376.0)	(33.0, 67774.0)	(34.0, 98486.0)	(35.0, 173031.0)	(36.0, 265924.0)	(37.0, 1307.0)											
ERR10710706_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 8.0)	(19.0, 15.0)	(20.0, 30.0)	(21.0, 107.0)	(22.0, 294.0)	(23.0, 602.0)	(24.0, 1370.0)	(25.0, 2823.0)	(26.0, 5221.0)	(27.0, 8794.0)	(28.0, 13615.0)	(29.0, 20048.0)	(30.0, 27677.0)	(31.0, 38319.0)	(32.0, 53608.0)	(33.0, 79576.0)	(34.0, 123736.0)	(35.0, 189986.0)	(36.0, 109108.0)	(37.0, 37.0)													
ERR10710706_2	(13.0, 11.0)	(14.0, 15.0)	(15.0, 43.0)	(16.0, 46.0)	(17.0, 111.0)	(18.0, 274.0)	(19.0, 795.0)	(20.0, 1621.0)	(21.0, 2755.0)	(22.0, 4088.0)	(23.0, 5574.0)	(24.0, 7316.0)	(25.0, 9069.0)	(26.0, 11529.0)	(27.0, 14029.0)	(28.0, 16922.0)	(29.0, 20853.0)	(30.0, 25574.0)	(31.0, 32420.0)	(32.0, 41213.0)	(33.0, 56831.0)	(34.0, 82877.0)	(35.0, 142567.0)	(36.0, 197667.0)	(37.0, 779.0)												
ERR10710707_1	(15.0, 2.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 12.0)	(19.0, 20.0)	(20.0, 38.0)	(21.0, 121.0)	(22.0, 242.0)	(23.0, 405.0)	(24.0, 774.0)	(25.0, 1490.0)	(26.0, 2727.0)	(27.0, 4935.0)	(28.0, 7980.0)	(29.0, 12054.0)	(30.0, 17156.0)	(31.0, 24758.0)	(32.0, 36130.0)	(33.0, 57739.0)	(34.0, 105613.0)	(35.0, 261530.0)	(36.0, 536752.0)	(37.0, 1760.0)														
ERR10710707_2	(12.0, 2.0)	(13.0, 21.0)	(14.0, 27.0)	(15.0, 40.0)	(16.0, 74.0)	(17.0, 112.0)	(18.0, 306.0)	(19.0, 818.0)	(20.0, 1645.0)	(21.0, 2748.0)	(22.0, 3960.0)	(23.0, 5539.0)	(24.0, 7370.0)	(25.0, 9785.0)	(26.0, 12446.0)	(27.0, 15726.0)	(28.0, 19497.0)	(29.0, 25626.0)	(30.0, 32455.0)	(31.0, 43674.0)	(32.0, 58836.0)	(33.0, 84449.0)	(34.0, 128479.0)	(35.0, 236909.0)	(36.0, 379733.0)	(37.0, 1972.0)											
