Sample	Unique Reads	Duplicate Reads
ERR10710700_1	739874.0	343185.0
ERR10710700_2	769255.0	313804.0
ERR10710702_1	615423.0	190046.0
ERR10710702_2	648170.0	157299.0
ERR10710703_1	654390.0	245727.0
ERR10710703_2	663581.0	236536.0
ERR10710705_1	618509.0	216836.0
ERR10710705_2	642799.0	192546.0
ERR10710706_1	508076.0	166903.0
ERR10710706_2	520627.0	154352.0
ERR10710707_1	743676.0	328573.0
ERR10710707_2	774615.0	297634.0
ERR10710709_1	499792.0	144849.0
ERR10710709_2	518654.0	125987.0
ERR10782663_1	274383.0	9917.0
ERR10782663_2	267186.0	17114.0
ERR10782668_1	344673.0	9352.0
ERR10782668_2	336620.0	17405.0
ERR10782671_1	298839.0	7577.0
ERR10782671_2	284229.0	22187.0
ERR10782676_1	281393.0	17917.0
ERR10782676_2	292153.0	7157.0
ERR10782680_1	481895.0	56746.0
ERR10782680_2	514309.0	24332.0
ERR10782688_1	755436.0	44281.0
ERR10782688_2	729132.0	70585.0
ERR10782695_1	1015224.0	92557.0
ERR10782695_2	983381.0	124400.0
ERR10782717_1	358857.0	14520.0
ERR10782717_2	361835.0	11542.0
ERR10782743_1	274981.0	13423.0
ERR10782743_2	278813.0	9591.0
ERR10783123_1	241832.0	11298.0
ERR10783123_2	244923.0	8207.0
ERR10783128_1	364468.0	9697.0
ERR10783128_2	352880.0	21285.0
ERR10783132_1	493329.0	30016.0
ERR10783132_2	504157.0	19188.0
ERR10783138_1	225540.0	27005.0
ERR10783138_2	245101.0	7444.0
ERR10783144_1	534845.0	92889.0
ERR10783144_2	602738.0	24996.0
ERR10783153_1	401940.0	16536.0
ERR10783153_2	388181.0	30295.0
ERR10783156_1	293879.0	88294.0
ERR10783156_2	375630.0	6543.0
ERR10783159_1	292689.0	7249.0
ERR10783159_2	281851.0	18087.0
ERR10783163_1	323871.0	39227.0
ERR10783163_2	354494.0	8604.0
ERR10783166_1	484686.0	26716.0
ERR10783166_2	490796.0	20606.0
ERR10783178_1	1211038.0	833.0
ERR10783178_2	711652.0	500219.0
ERR10787957_1	221938.0	6378.0
ERR10787957_2	195107.0	33209.0
ERR10787959_1	394205.0	134840.0
ERR10787959_2	509297.0	19748.0
ERR10787961_1	504255.0	77207.0
ERR10787961_2	577501.0	3961.0
ERR10788033_1	307011.0	7272.0
ERR10788033_2	292839.0	21444.0
ERR10788115_1	354969.0	10361.0
ERR10788115_2	330989.0	34341.0
ERR10788118_1	396230.0	14043.0
ERR10788118_2	369767.0	40506.0
ERR10788121_1	366965.0	11658.0
ERR10788121_2	354357.0	24266.0
ERR10794274_1	403072.0	28891.0
ERR10794274_2	420528.0	11435.0
ERR10794308_1	656945.0	364440.0
ERR10794308_2	1019795.0	1590.0
ERR10794316_1	461955.0	13143.0
ERR10794316_2	408061.0	67037.0
ERR10794327_1	769590.0	54434.0
ERR10794327_2	751722.0	72302.0
ERR10802836_1	308052.0	217789.0
ERR10802836_2	506154.0	19687.0
ERR10802837_1	350622.0	10325.0
ERR10802837_2	330478.0	30469.0
ERR10805899_1	293556.0	15756.0
ERR10805899_2	261422.0	47890.0
ERR10808103_1	216676.0	15033.0
ERR10808103_2	227779.0	3930.0
ERR10808115_1	302896.0	8829.0
ERR10808115_2	289152.0	22573.0
ERR10808136_1	485192.0	44444.0
ERR10808136_2	502086.0	27550.0
ERR10809417_1	791470.0	96622.0
ERR10809417_2	829318.0	58774.0
ERR10809418_1	245056.0	7024.0
ERR10809418_2	235801.0	16279.0
ERR10812834_1	497066.0	193310.0
ERR10812834_2	669697.0	20679.0
ERR10812835_1	337207.0	9696.0
ERR10812835_2	328238.0	18665.0
ERR10812836_1	361300.0	28139.0
ERR10812836_2	378551.0	10888.0
ERR10812837_1	318877.0	16409.0
ERR10812837_2	326201.0	9085.0
ERR10812838_1	322813.0	17191.0
ERR10812838_2	331231.0	8773.0
ERR10812839_1	377623.0	10546.0
ERR10812839_2	368446.0	19723.0
ERR10812840_1	283682.0	8619.0
ERR10812840_2	277169.0	15132.0
ERR10812841_1	380322.0	13074.0
ERR10812841_2	368740.0	24656.0
ERR10812867_1	649034.0	109588.0
ERR10812867_2	720763.0	37859.0
ERR10812868_1	699969.0	59584.0
ERR10812868_2	681232.0	78321.0
ERR10812869_1	333785.0	29784.0
ERR10812869_2	346711.0	16858.0
ERR10812870_1	387972.0	14494.0
ERR10812870_2	347765.0	54701.0
ERR10812871_1	327055.0	8587.0
ERR10812871_2	314304.0	21338.0
ERR10812872_1	281921.0	234024.0
ERR10812872_2	456490.0	59455.0
ERR10812873_1	299969.0	21881.0
ERR10812873_2	312414.0	9436.0
ERR10820997_1	267958.0	16307.0
ERR10820997_2	277985.0	6280.0
ERR10852925_1	335904.0	23156.0
ERR10852925_2	343231.0	15829.0
ERR10852926_1	301459.0	25470.0
ERR10852926_2	318918.0	8011.0
ERR10852929_1	810476.0	41061.0
ERR10852929_2	763350.0	88187.0
ERR10852931_1	555659.0	21660.0
ERR10852931_2	544030.0	33289.0
ERR10852932_1	222624.0	4943.0
ERR10852932_2	192680.0	34887.0
ERR10852933_1	422847.0	36492.0
ERR10852933_2	299005.0	160334.0
ERR10852935_1	913754.0	151282.0
ERR10852935_2	617378.0	447658.0
ERR10852936_1	530152.0	22013.0
ERR10852936_2	516963.0	35202.0
ERR10852938_1	304782.0	9335.0
ERR10852938_2	296369.0	17748.0
ERR10852993_1	545333.0	30886.0
ERR10852993_2	530997.0	45222.0
ERR10852995_1	1127783.0	171188.0
