Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10710700_1	(1.0, 49.40665473964496)	(2.0, 24.459808067209632)	(3.0, 11.818137176554517)	(4.0, 5.906172183642862)	(5.0, 3.008134341272527)	(6.0, 1.6778983782508405)	(7.0, 1.0039696862768754)	(8.0, 0.6280947952630989)	(9.0, 0.40731373002395954)	('>10', 1.6143776011272717)	('>50', 0.04237476531245198)	('>100', 0.027064535421006626)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710700_2	(1.0, 53.4270698571716)	(2.0, 23.077777996124684)	(3.0, 10.92464209733046)	(4.0, 5.273663005739489)	(5.0, 2.7716712296466017)	(6.0, 1.3964202075804488)	(7.0, 0.8247829177491242)	(8.0, 0.5180602351782244)	(9.0, 0.32220566310869)	('>10', 1.3563090607066777)	('>50', 0.03553673731320457)	('>100', 0.07186099235080148)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710702_1	(1.0, 60.75806115896071)	(2.0, 22.060972253656775)	(3.0, 8.882075115925971)	(4.0, 3.9142876043645183)	(5.0, 1.715630622935193)	(6.0, 0.8952550959723413)	(7.0, 0.4600914656004448)	(8.0, 0.33041945384495486)	(9.0, 0.22724348556460908)	('>10', 0.7279485610578026)	('>50', 0.0280151821167046)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710702_2	(1.0, 67.19452730734321)	(2.0, 19.078834222075592)	(3.0, 7.454291348903334)	(4.0, 3.0159679259448806)	(5.0, 1.3140777012307938)	(6.0, 0.6175067667496386)	(7.0, 0.3483980693918661)	(8.0, 0.22742807848886978)	(9.0, 0.16072961660511167)	('>10', 0.49739818949145287)	('>50', 0.01973662854685433)	('>100', 0.0)	('>500', 0.07110414522840236)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710703_1	(1.0, 55.39794630331746)	(2.0, 23.50540305759076)	(3.0, 10.34627865099102)	(4.0, 4.73422315274056)	(5.0, 2.3317083339815574)	(6.0, 1.1331028557485203)	(7.0, 0.6894826220952179)	(8.0, 0.3996360537388044)	(9.0, 0.2959079464536989)	('>10', 1.1363464740801723)	('>50', 0.018096237593665767)	('>100', 0.011868311668573002)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710703_2	(1.0, 56.97433740797641)	(2.0, 22.89416495107731)	(3.0, 9.853078664651067)	(4.0, 4.626688957728408)	(5.0, 2.1696221069542028)	(6.0, 1.1363381724916808)	(7.0, 0.6075115416414139)	(8.0, 0.38009190833311746)	(9.0, 0.2644228091662314)	('>10', 1.0183909984664503)	('>50', 0.018103404295025643)	('>100', 0.057249077218684996)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710705_1	(1.0, 57.17544817077612)	(2.0, 23.32302828611732)	(3.0, 9.80258860091841)	(4.0, 4.470199460220868)	(5.0, 2.1118188753540585)	(6.0, 1.0871431297932437)	(7.0, 0.6294144894202272)	(8.0, 0.33686558723154647)	(9.0, 0.2562267950549538)	('>10', 0.7843257615168471)	('>50', 0.02294084359637065)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710705_2	(1.0, 61.67070587334904)	(2.0, 21.50604244756606)	(3.0, 8.784429455131447)	(4.0, 3.686660966254051)	(5.0, 1.7238438458444263)	(6.0, 0.8693549624839145)	(7.0, 0.552874164707057)	(8.0, 0.31098552104450145)	(9.0, 0.18431412561765395)	('>10', 0.6516913470943556)	('>50', 0.018436334342938825)	('>100', 0.040660956564563706)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710706_1	(1.0, 60.43738110182092)	(2.0, 20.714408978761302)	(3.0, 8.093526046855795)	(4.0, 3.560550201754901)	(5.0, 1.7402822333611057)	(6.0, 1.0102267141634864)	(7.0, 0.6675270076443555)	(8.0, 0.49850427345091025)	(9.0, 0.37455999565323655)	('>10', 2.7684800059780614)	('>50', 0.1345534405559921)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710706_2	(1.0, 63.14773798180412)	(2.0, 19.923734178355463)	(3.0, 7.398912984453397)	(4.0, 3.056786152619174)	(5.0, 1.5726407290945499)	(6.0, 0.8037139437969665)	(7.0, 0.645858526492544)	(8.0, 0.4108834991337979)	(9.0, 0.36701178942073065)	('>10', 2.46593406000844)	('>50', 0.12148296727408024)	('>100', 0.08530318754675467)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710707_1	(1.0, 50.675468153470526)	(2.0, 24.564744962104168)	(3.0, 11.39263959304699)	(4.0, 5.731413283871064)	(5.0, 2.8471897984960632)	(6.0, 1.604054816790751)	(7.0, 0.8765004644827145)	(8.0, 0.5396098250598705)	(9.0, 0.36147552703292235)	('>10', 1.3602325887160789)	('>50', 0.023634666457558583)	('>100', 0.023036320471291276)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710707_2	(1.0, 55.128782823590086)	(2.0, 22.615759042168474)	(3.0, 10.58575680613683)	(4.0, 5.13044447189938)	(5.0, 2.454041454914685)	(6.0, 1.285171582225068)	(7.0, 0.7800574983707477)	(8.0, 0.478947841650605)	(9.0, 0.3028118464272868)	('>10', 1.1542613680394076)	('>50', 0.026264016408107677)	('>100', 0.057701248169327465)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710709_1	(1.0, 62.02679010535519)	(2.0, 22.475401706774427)	(3.0, 8.590086319507893)	(4.0, 3.3753527189904937)	(5.0, 1.4993387115213581)	(6.0, 0.7340211087212805)	(7.0, 0.350845790877309)	(8.0, 0.21479509023874654)	(9.0, 0.17109645353130915)	('>10', 0.541090241108182)	('>50', 0.02118175337374801)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10710709_2	(1.0, 66.68478531405206)	(2.0, 20.42666255803977)	(3.0, 7.189315059656658)	(4.0, 2.8720739892219056)	(5.0, 1.2031233718172698)	(6.0, 0.5540351706486952)	(7.0, 0.3018439227934613)	(8.0, 0.19173540138190795)	(9.0, 0.106431984810733)	('>10', 0.4024143756069434)	('>50', 0.019962760146278114)	('>100', 0.04761609182431912)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782663_1	(1.0, 93.50509722334644)	(2.0, 5.391071937084932)	(3.0, 0.6658401648168493)	(4.0, 0.18845374061868356)	(5.0, 0.1126637829742812)	(6.0, 0.0567893046504096)	(7.0, 0.030959878103007127)	(8.0, 0.017395056550410057)	(9.0, 0.012907236402214075)	('>10', 0.018821675452788688)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782663_2	(1.0, 90.73290544899655)	(2.0, 5.715112331195025)	(3.0, 0.7843908144293883)	(4.0, 0.27735970158098283)	(5.0, 0.13543926855081628)	(6.0, 0.06331143205845761)	(7.0, 0.054025994455140176)	(8.0, 0.026052896898387926)	(9.0, 0.02902529439909702)	('>10', 0.10555399862271397)	('>50', 0.05074876733567457)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.0260740514777305)	('>10k+', 0.0)
