Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
ERR10710700_1	(251, 1083059.0)																																											
ERR10710700_2	(251, 1083059.0)																																											
ERR10710702_1	(251, 805469.0)																																											
ERR10710702_2	(251, 805469.0)																																											
ERR10710703_1	(251, 900117.0)																																											
ERR10710703_2	(251, 900117.0)																																											
ERR10710705_1	(251, 835345.0)																																											
ERR10710705_2	(251, 835345.0)																																											
ERR10710706_1	(251, 674979.0)																																											
ERR10710706_2	(251, 674979.0)																																											
ERR10710707_1	(251, 1072249.0)																																											
ERR10710707_2	(251, 1072249.0)																																											
ERR10710709_1	(251, 644641.0)																																											
ERR10710709_2	(251, 644641.0)																																											
ERR10782663_1	(151, 284300.0)																																											
ERR10782663_2	(151, 284300.0)																																											
ERR10782668_1	(151, 354025.0)																																											
ERR10782668_2	(151, 354025.0)																																											
ERR10782671_1	(151, 306416.0)																																											
ERR10782671_2	(151, 306416.0)																																											
ERR10782676_1	(151, 299310.0)																																											
ERR10782676_2	(151, 299310.0)																																											
ERR10782680_1	(151, 538641.0)																																											
ERR10782680_2	(151, 538641.0)																																											
ERR10782688_1	(151, 799717.0)																																											
ERR10782688_2	(151, 799717.0)																																											
ERR10782695_1	(151, 1107781.0)																																											
ERR10782695_2	(151, 1107781.0)																																											
ERR10782717_1	(151, 373377.0)																																											
ERR10782717_2	(151, 373377.0)																																											
ERR10782743_1	(151, 288404.0)																																											
ERR10782743_2	(151, 288404.0)																																											
ERR10783123_1	(151, 253130.0)																																											
ERR10783123_2	(151, 253130.0)																																											
ERR10783128_1	(151, 374165.0)																																											
ERR10783128_2	(151, 374165.0)																																											
ERR10783132_1	(151, 523345.0)																																											
ERR10783132_2	(151, 523345.0)																																											
ERR10783138_1	(151, 252545.0)																																											
ERR10783138_2	(151, 252545.0)																																											
ERR10783144_1	(151, 627734.0)																																											
ERR10783144_2	(151, 627734.0)																																											
ERR10783153_1	(151, 418476.0)																																											
ERR10783153_2	(151, 418476.0)																																											
ERR10783156_1	(151, 382173.0)																																											
ERR10783156_2	(151, 382173.0)																																											
ERR10783159_1	(151, 299938.0)																																											
ERR10783159_2	(151, 299938.0)																																											
ERR10783163_1	(151, 363098.0)																																											
ERR10783163_2	(151, 363098.0)																																											
ERR10783166_1	(151, 511402.0)																																											
ERR10783166_2	(151, 511402.0)																																											
ERR10783178_1	(151, 1211871.0)																																											
ERR10783178_2	(151, 1211871.0)																																											
ERR10787957_1	(151, 228316.0)																																											
ERR10787957_2	(151, 228316.0)																																											
ERR10787959_1	(151, 529045.0)																																											
ERR10787959_2	(151, 529045.0)																																											
ERR10787961_1	(150, 581461.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 1.0)													
ERR10787961_2	(150, 581461.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 1.0)													
ERR10788033_1	(151, 314283.0)																																											
ERR10788033_2	(151, 314283.0)																																											
ERR10788115_1	(151, 365330.0)																																											
ERR10788115_2	(151, 365330.0)																																											
ERR10788118_1	(151, 410273.0)																																											
ERR10788118_2	(151, 410273.0)																																											
ERR10788121_1	(151, 378623.0)																																											
ERR10788121_2	(151, 378623.0)																																											
ERR10794274_1	(151, 431963.0)																																											
ERR10794274_2	(151, 431963.0)																																											
ERR10794308_1	(151, 1021385.0)																																											
ERR10794308_2	(151, 1021385.0)																																											
ERR10794316_1	(151, 475098.0)																																											
ERR10794316_2	(151, 475098.0)																																											
ERR10794327_1	(151, 824024.0)																																											
ERR10794327_2	(151, 824024.0)																																											
ERR10802836_1	(151, 525841.0)																																											
ERR10802836_2	(151, 525841.0)																																											
ERR10802837_1	(151, 360947.0)																																											
ERR10802837_2	(151, 360947.0)																																											
ERR10805899_1	(151, 309312.0)																																											
ERR10805899_2	(151, 309312.0)																																											
ERR10808103_1	(151, 231709.0)																																											
ERR10808103_2	(151, 231709.0)																																											
ERR10808115_1	(151, 311725.0)																																											
ERR10808115_2	(151, 311725.0)																																											
ERR10808136_1	(151, 529636.0)																																											
ERR10808136_2	(151, 529636.0)																																											
ERR10809417_1	(151, 888092.0)																																											
ERR10809417_2	(151, 888092.0)																																											
ERR10809418_1	(151, 252080.0)																																											
ERR10809418_2	(151, 252080.0)																																											
ERR10812834_1	(151, 690376.0)																																											
ERR10812834_2	(151, 690376.0)																																											
ERR10812835_1	(151, 346903.0)																																											
ERR10812835_2	(151, 346903.0)																																											
ERR10812836_1	(151, 389439.0)																																											
ERR10812836_2	(151, 389439.0)																																											
ERR10812837_1	(151, 335286.0)																																											
ERR10812837_2	(151, 335286.0)																																											
ERR10812838_1	(151, 340004.0)																																											
ERR10812838_2	(151, 340004.0)																																											
ERR10812839_1	(151, 388169.0)																																											
ERR10812839_2	(151, 388169.0)																																											
ERR10812840_1	(151, 292301.0)																																											
ERR10812840_2	(151, 292301.0)																																											
ERR10812841_1	(151, 393396.0)																																											
ERR10812841_2	(151, 393396.0)																																											
ERR10812867_1	(151, 758622.0)																																											
ERR10812867_2	(151, 758622.0)																																											
ERR10812868_1	(151, 759553.0)																																											
ERR10812868_2	(151, 759553.0)																																											
ERR10812869_1	(151, 363569.0)																																											
ERR10812869_2	(151, 363569.0)																																											
ERR10812870_1	(151, 402466.0)																																											
ERR10812870_2	(151, 402466.0)																																											
ERR10812871_1	(151, 335642.0)																																											
ERR10812871_2	(151, 335642.0)																																											
ERR10812872_1	(151, 515945.0)																																											
ERR10812872_2	(151, 515945.0)																																											
ERR10812873_1	(151, 321850.0)																																											
ERR10812873_2	(151, 321850.0)																																											
