sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR10794316	chromosome			NODE_12_length_139657_cov_8.247374	139657	0.3834394265951581	700565dc3682957b884948fb7cdf5c98	00966	CP001182	ISAlw1	IS5	1039	1	1039	86214	87252						
ERR10794316	chromosome			NODE_12_length_139657_cov_8.247374	139657	0.3834394265951581	700565dc3682957b884948fb7cdf5c98	00418	KF702385	ISAba14	IS3	1283	1	1283	134269	135551						
ERR10794316	chromosome			NODE_12_length_139657_cov_8.247374	139657	0.3834394265951581	700565dc3682957b884948fb7cdf5c98	00675	JQ241792	ISC1041	IS30	3072	1873	3072	136472	137671						
ERR10794316	chromosome			NODE_28_length_8686_cov_26.852218	8686	0.36507022795302785	0c73597ace7c45bd4829dc8eaf2203dd	01166	JX441323	ISAba17	IS66	2491	411	2491	5085	7186						
ERR10794316	chromosome			NODE_34_length_5298_cov_42.265628	5298	0.4949028659357569	b1d1d9b3d4c9a4510093fcaba20a9544	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	3751	5283						
ERR10794316	chromosome			NODE_43_length_1482_cov_22.273319	1482	0.4406207827260459	e64f3985d12e39d2460c469791ae6c67	01364	CP012956	ISAba32	ISNCY	1482	1	1482	1	1482						
ERR10794316	plasmid	AB114	AJ689	NODE_21_length_25702_cov_9.279225	25702	0.3907867092055093	890c78f64eb3f37ac4c2859e40e4b946	00345	CP001182	ISAba26	IS256	1318	1	1318	100	1431	1336	minus	100.0	85.404	0.0	1367
ERR10794316	plasmid	AB114	AJ689	NODE_21_length_25702_cov_9.279225	25702	0.3907867092055093	890c78f64eb3f37ac4c2859e40e4b946	00470	FJ012880	ISAba18	IS3	1321	1	1321	11373	12679	1322	plus	100.0	93.343	0.0	1940
ERR10794316	plasmid	AB114	AJ689	NODE_44_length_1274_cov_24.100426	1274	0.37755102040816324	d51c64c81b4287f7492209ac8d05736f	00596	JX076770	ISAba21	IS3	1274	1	1274	1	1274	1274	minus	100.0	99.529	0.0	2320
ERR10794316	plasmid	AC940		NODE_23_length_23283_cov_15.609386	23283	0.37065670231499376	2b666e3b579b2de67ac3f4f491917f05	00516	MF399199	ISMca3	IS3	1309	1	1309	3849	5171	1323	plus	100.0	91.156	0.0	1783
ERR10794316	plasmid	AC940		NODE_23_length_23283_cov_15.609386	23283	0.37065670231499376	2b666e3b579b2de67ac3f4f491917f05	00962	CP024418	ISAba12	IS5	1039	1	1039	8496	9533	1039	plus	100.0	97.209	0.0	1757
ERR10794316	plasmid	AC940		NODE_42_length_1482_cov_34.826464	1482	0.4338731443994602	e5f413558b6b03b19fe8ce0f9b1732d2	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	1	1482	1482	plus	100.0	91.296	0.0	2023
