sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR10782717	chromosome			NODE_4_length_149761_cov_7.177186	149761	0.3867562315956758	1bab7fb45703cb8e4486d1f5256701a0	00516	MF399199	ISMca3	IS3	1309	1	1309	20497	21805						
ERR10782717	chromosome			NODE_10_length_98723_cov_9.117162	98723	0.3946699350708548	15f49ae391cb048d30ea54db5acf714e	00516	MF399199	ISMca3	IS3	1309	1	1309	58528	59836						
ERR10782717	chromosome			NODE_22_length_67249_cov_8.122085	67249	0.3816562328064358	49106cdbe5f6b3246654315860a0e611	00965	EU850412	ISAha3	IS5	1040	1	1039	668	1705						
ERR10782717	chromosome			NODE_35_length_46872_cov_7.455327	46872	0.3530679296808329	563761d24c69dd1c82e19d1a35626d6e	00966	CP001182	ISAlw1	IS5	1039	1	1039	7386	8432						
ERR10782717	chromosome			NODE_35_length_46872_cov_7.455327	46872	0.3530679296808329	563761d24c69dd1c82e19d1a35626d6e	00418	KF702385	ISAba14	IS3	1283	199	1282	34723	35806						
ERR10782717	chromosome			NODE_41_length_31056_cov_6.793940	31056	0.384273570324575	5527e285154d97f0c12beb5a1e496ed0	00965	EU850412	ISAha3	IS5	1040	1	1039	13379	14417						
ERR10782717	chromosome			NODE_53_length_16672_cov_8.840343	16672	0.3875359884836852	8c58f81615da4a515c8b71b33e6eafa4	00965	EU850412	ISAha3	IS5	1040	1	1039	8789	9827						
ERR10782717	chromosome			NODE_78_length_4575_cov_38.173146	4575	0.4981005586592179	65f60c1166b32006df9ce6eabe557e31	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	173	1711						
ERR10782717	plasmid	AB408	AK177	NODE_50_length_20181_cov_10.845334	20181	0.3635597839552054	fad5a16ea72541d550b01f4e8f530d92	01361	KY617771	ISAjo2	ISNCY	1482	30	1482	16451	17902	1456	plus	98.0	92.72	0.0	2095
ERR10782717	plasmid	AB408	AK177	NODE_94_length_1040_cov_52.517535	1040	0.3903846153846154	cc25476ef3317b6687981a42baf8dcbd	00958	MF399199	ISAha2	IS5	1040	1	1040	1	1040	1040	minus	100.0	99.904	0.0	1916
