Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description,sample_id,molecule_type,primary_cluster_id,secondary_cluster_id,contig_id,size,gc,md5,circularity_status,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,mash_nearest_neighbor,mash_neighbor_distance,mash_neighbor_identification,repetitive_dna_id,repetitive_dna_type,filtering_reason
ERR10710700,,NODE_15_length_88054_cov_60.734614,52585,53370,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.0,100.0,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,,,ERR10710700,chromosome,-,-,NODE_15_length_88054_cov_60.734614,88054,0.4059667931042315,8622b0bbc8db877300fc21e2e4443695,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_1_length_430371_cov_58.173167,233,1045,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.0,100.0,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,,,ERR10710700,chromosome,-,-,NODE_1_length_430371_cov_58.173167,430371,0.4039770337685392,e063dcfeabc548f87b7b0a6ff2c6f331,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_1_length_430371_cov_58.173167,3664,4497,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.0,100.0,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,,,ERR10710700,chromosome,-,-,NODE_1_length_430371_cov_58.173167,430371,0.4039770337685392,e063dcfeabc548f87b7b0a6ff2c6f331,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_1_length_430371_cov_58.173167,4500,5300,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.0,100.0,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,,,ERR10710700,chromosome,-,-,NODE_1_length_430371_cov_58.173167,430371,0.4039770337685392,e063dcfeabc548f87b7b0a6ff2c6f331,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_23_length_60589_cov_55.039130,53299,54120,+,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.0,100.0,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,,,ERR10710700,chromosome,-,-,NODE_23_length_60589_cov_55.039130,60589,0.3755302117546089,c430adb1f62e0adb0153c232be9ec9cc,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_37_length_14082_cov_46.744761,1077,1628,+,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.0,100.0,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,1724,2353,+,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.0,100.0,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,2414,3202,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.0,100.0,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,3369,3713,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.0,100.0,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,3710,4546,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.0,100.0,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
