ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
snippy_ERR10710702	3931794	3851640	58438	23	53	0	21663
snippy_ERR10710703	3931794	3900448	8979	15	34	0	22333
snippy_ERR10710705	3931794	3901354	9246	36	76	0	21118
snippy_ERR10710706	3931794	3320503	534656	53963	589	0	76046
snippy_ERR10710707	3931794	3899893	9642	17	36	0	22223
snippy_ERR10710709	3931794	3900277	9439	12	50	0	22028
snippy_ERR10782663	3931794	2819411	1034866	45655	512	0	77005
snippy_ERR10782668	3931794	3204996	651524	43276	306	0	74968
snippy_ERR10782671	3931794	3263179	596610	41053	1059	0	70946
snippy_ERR10782676	3931794	3304939	501829	39401	366	0	124660
snippy_ERR10782680	3931794	3084768	772051	39211	816	0	74159
snippy_ERR10782688	3931794	3281300	580093	41019	738	0	69663
snippy_ERR10782695	3931794	3213987	647737	38298	509	0	69561
snippy_ERR10782717	3931794	3150969	705199	38353	849	0	74777
snippy_ERR10782743	3931794	3147903	711943	38682	770	0	71178
snippy_ERR10783123	3931794	3078697	776014	38004	363	0	76720
snippy_ERR10783128	3931794	3361682	495635	36923	483	0	73994
snippy_ERR10783132	3931794	3367225	478046	36283	591	0	85932
snippy_ERR10783138	3931794	3086634	762692	36460	1117	0	81351
snippy_ERR10783144	3931794	3292257	555769	37700	777	0	82991
snippy_ERR10783153	3931794	3369326	476861	35596	527	0	85080
snippy_ERR10783156	3931794	3285227	575381	32790	784	0	70402
snippy_ERR10783159	3931794	3252786	598841	35904	996	0	79171
snippy_ERR10783163	3931794	3306618	504709	34809	366	0	120101
snippy_ERR10783166	3931794	3219563	646946	36055	331	0	64954
snippy_ERR10783178	3931794	3291871	555284	36687	576	0	84063
snippy_ERR10787957	3931794	3072624	769470	35283	925	0	88775
snippy_ERR10787959	3931794	3149817	693494	35661	1167	0	87316
snippy_ERR10787961	3931794	3268869	559957	36313	732	0	102236
snippy_ERR10788033	3931794	3413407	441535	31678	613	0	76239
snippy_ERR10788115	3931794	3378646	487623	33926	352	0	65173
snippy_ERR10788118	3931794	3127410	731000	34698	794	0	72590
snippy_ERR10788121	3931794	3278405	567791	33566	478	0	85120
snippy_ERR10794274	3931794	3297768	538355	35423	650	0	95021
snippy_ERR10794308	3931794	3292338	554954	34597	800	0	83702
snippy_ERR10794316	3931794	3286143	574229	30260	791	0	70631
