qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_25_length_57735_cov_49.413179	1113	57735	1	1113	30697	31808	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
000562__KT346360_00001|rep_cluster_1254	NODE_68_length_13156_cov_49.119093	930	13156	176	930	12304	13058	755	72	90.464	81.0	81.0	minus	0.0	996	replicon
000523__LT594096_00001|rep_cluster_1226	NODE_90_length_4607_cov_232.694858	936	4607	1	936	2919	3854	936	0	100.0	100.0	100.0	plus	0.0	1729	replicon
NC_017163_00021|MOBF	NODE_69_length_11999_cov_43.201008	1091	11999	1	1091	2942	6214	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_006877_00013|MOBQ	NODE_90_length_4607_cov_232.694858	363	4607	1	363	1209	2297	363	0	100.0	100.0	100.0	plus	0.0	725	relaxase
NC_010606_00071|MPF_F	NODE_25_length_57735_cov_49.413179	240	57735	1	240	7535	8254	240	0	100.0	100.0	100.0	plus	3.88e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_25_length_57735_cov_49.413179	438	57735	1	438	8267	9580	438	0	100.0	100.0	100.0	plus	0.0	862	mate-pair-formation
NC_010606_00075|MPF_F	NODE_25_length_57735_cov_49.413179	214	57735	1	214	10611	11252	214	0	100.0	100.0	100.0	plus	1.09e-145	445	mate-pair-formation
NC_010606_00076|MPF_T	NODE_25_length_57735_cov_49.413179	908	57735	1	908	11265	13988	908	0	100.0	100.0	100.0	plus	0.0	1754	mate-pair-formation
NC_010606_00078|MPF_F	NODE_25_length_57735_cov_49.413179	212	57735	1	212	14918	15553	212	0	100.0	100.0	100.0	plus	1.19e-140	431	mate-pair-formation
NC_010606_00079|MPF_F	NODE_25_length_57735_cov_49.413179	347	57735	1	347	15553	16593	347	0	100.0	100.0	100.0	plus	0.0	698	mate-pair-formation
NC_010606_00080|MPF_F	NODE_25_length_57735_cov_49.413179	235	57735	1	235	16611	17315	235	0	100.0	100.0	100.0	plus	5.5e-158	481	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_25_length_57735_cov_49.413179	685	57735	1	685	17315	19369	685	0	100.0	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_017163_00052|MPF_F	NODE_25_length_57735_cov_49.413179	475	57735	1	475	20579	22003	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_25_length_57735_cov_49.413179	1000	57735	1	1000	22022	25021	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
NC_017163_00020|MPF_T	NODE_69_length_11999_cov_43.201008	719	11999	1	719	6229	8385	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
