qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000599__KX426232_00098|rep_cluster_1282	NODE_135_length_6671_cov_103.755326	924	6671	1	924	4812	5735	924	32	96.537	100.0	100.0	plus	0.0	1530	replicon
002211__NC_010606_00001|rep_cluster_734	NODE_237_length_925_cov_3.157385	1113	925	138	1062	1	925	925	5	99.459	83.0	83.0	plus	0.0	1681	replicon
000676__CU468233_00017|rep_cluster_1357	NODE_99_length_11679_cov_53.404663	897	11679	1	890	9294	10183	890	71	92.022	99.0	99.0	plus	0.0	1251	replicon
CP032102_00178|MOBQ	NODE_135_length_6671_cov_103.755326	478	6671	1	478	2799	4232	478	14	97.071	100.0	100.0	plus	0.0	928	relaxase
NZ_AFDA02000010_00002|MOBQ	NODE_163_length_4099_cov_511.745750	307	4099	1	307	2945	3871	309	14	94.822	100.0	100.0	plus	0.0	562	relaxase
HG977527_00048|MOBF	NODE_184_length_2763_cov_4.579580	375	2763	1	324	313	1284	324	3	99.074	86.0	100.0	plus	0.0	665	relaxase
NC_017163_00053|MPF_F	NODE_108_length_10747_cov_4.377442	1000	10747	1	1000	1422	4421	1000	0	100.0	100.0	100.0	minus	0.0	1831	mate-pair-formation
NC_017163_00052|MPF_F	NODE_108_length_10747_cov_4.377442	475	10747	1	475	4440	5864	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_108_length_10747_cov_4.377442	685	10747	1	685	7070	9124	685	3	99.562	100.0	100.0	minus	0.0	1414	mate-pair-formation
NC_010606_00080|MPF_F	NODE_108_length_10747_cov_4.377442	235	10747	1	235	9124	9828	235	1	99.574	100.0	100.0	minus	2.64e-157	479	mate-pair-formation
NC_010606_00079|MPF_F	NODE_108_length_10747_cov_4.377442	347	10747	48	347	9846	10745	300	0	100.0	86.0	86.0	minus	0.0	632	mate-pair-formation
NC_010606_00076|MPF_T	NODE_178_length_3083_cov_3.572721	908	3083	58	908	530	3082	851	1	99.882	94.0	94.0	minus	0.0	1633	mate-pair-formation
NC_010606_00072|MPF_F	NODE_179_length_3065_cov_3.223533	438	3065	1	438	82	1395	438	1	99.772	100.0	100.0	plus	0.0	861	mate-pair-formation
NC_010606_00075|MPF_F	NODE_179_length_3065_cov_3.223533	214	3065	1	213	2426	3064	213	0	100.0	99.0	99.0	plus	1.91e-151	443	mate-pair-formation
NC_010606_00070|MPF_F	NODE_185_length_2737_cov_3.884761	192	2737	1	192	538	1113	192	3	98.438	100.0	100.0	minus	1.7600000000000002e-129	382	mate-pair-formation
NC_017163_00020|MPF_T	NODE_193_length_2307_cov_3.556612	719	2307	1	624	3	1874	624	0	100.0	87.0	87.0	minus	0.0	1296	mate-pair-formation
