All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
ERR10710700  66                   55                      41                      38                       29                       26                       3931794                 3924468                    3896242                    3876852                     3722615                     3617564                     66         430371          3931794       38.99   185024  52172   189953.4  8    25    4.91             
ERR10710702  62                   54                      42                      38                       29                       26                       3901585                 3896331                    3871720                    3844622                     3680805                     3575754                     62         430272          3901585       39.00   154389  52172   184527.1  8    25    10.07            
ERR10710703  68                   58                      43                      40                       29                       25                       3951263                 3944608                    3911371                    3889010                     3697091                     3544355                     68         430371          3951263       38.98   165695  47685   187637.6  8    26    9.92             
ERR10710705  53                   49                      38                      36                       29                       25                       3950770                 3948373                    3925526                    3914981                     3795113                     3653080                     53         430371          3950770       38.97   165695  52172   194946.6  8    24    12.43            
ERR10710706  66                   58                      47                      40                       36                       27                       4008989                 4002475                    3982228                    3926903                     3864395                     3567635                     66         295941          4008989       39.12   148258  45593   149906.1  10   28    2.49             
ERR10710707  68                   57                      43                      39                       30                       27                       3950634                 3943089                    3914370                    3890131                     3735890                     3630839                     68         430371          3950634       38.98   140190  52172   173882.2  9    26    9.90             
ERR10710709  65                   56                      42                      38                       29                       26                       3951508                 3945475                    3917351                    3889505                     3735264                     3630213                     65         374378          3951508       38.98   165695  52172   181394.8  8    25    7.49             
ERR10782663  376                  330                     199                     119                      29                       4                        3449841                 3416592                    3091486                    2508058                     1066005                     219673                      376        64313           3449841       38.94   17640   4923    20733.0   62   202   28.75            
ERR10782668  381                  353                     224                     146                      37                       3                        4018408                 3997580                    3659801                    3077193                     1347119                     179391                      381        64492           4018408       38.75   19094   5486    21855.0   68   216   39.74            
ERR10782671  127                  113                     86                      68                       44                       28                       3886052                 3876948                    3804687                    3668844                     3251919                     2712491                     127        217928          3886052       38.90   76584   18429   87411.2   16   56    2.83             
ERR10782676  351                  338                     220                     133                      36                       8                        3918868                 3909458                    3582783                    2945249                     1455016                     512317                      351        94779           3918868       38.96   17838   5488    24771.8   61   210   2.53             
ERR10782680  131                  117                     85                      71                       52                       25                       3760506                 3750006                    3670254                    3570588                     3259673                     2309068                     131        202830          3760506       39.08   62729   19142   81767.4   17   58    2.53             
ERR10782688  35                   32                      27                      23                       19                       17                       4236924                 4234438                    4227138                    4194798                     4122873                     4053741                     35         1015331         4236924       38.91   329108  81807   440726.9  4    14    7.01             
ERR10782695  76                   72                      47                      42                       33                       24                       3883368                 3880756                    3816440                    3783977                     3625593                     3318846                     76         352260          3883368       38.86   137252  32019   153989.4  10   29    2.58             
ERR10782717  111                  94                      74                      62                       44                       33                       3818197                 3805946                    3753182                    3657974                     3348786                     2950909                     111        215365          3818197       38.90   71731   22151   88251.8   17   48    2.62             
ERR10782743  168                  146                     104                     81                       50                       25                       3649769                 3634381                    3530569                    3362919                     2871850                     1953256                     168        125671          3649769       39.02   51834   11876   57691.7   23   74    5.43             
ERR10783123  129                  115                     89                      72                       48                       22                       3695824                 3686503                    3626841                    3507907                     3079448                     2114216                     129        314599          3695824       39.02   58057   18776   87956.9   18   60    3.19             
ERR10783128  137                  118                     89                      76                       46                       22                       4065126                 4051590                    3975766                    3881522                     3379059                     2533028                     137        362187          4065126       39.14   81279   16914   107131.3  15   60    4.92             
ERR10783132  102                  86                      66                      57                       47                       29                       3945331                 3934464                    3893524                    3830040                     3673784                     3009351                     102        250682          3945331       39.00   87004   31969   110609.5  13   43    5.53             
ERR10783138  210                  179                     134                     93                       48                       20                       3768405                 3746100                    3621118                    3317381                     2576510                     1607556                     210        177475          3768405       38.98   39132   8636    52340.7   27   101   11.28            
ERR10783144  84                   76                      60                      53                       44                       32                       4296105                 4290396                    4244018                    4191940                     3995235                     3564413                     84         271972          4296105       38.96   110999  32838   119129.6  14   40    11.57            
