sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SRR25445128	chromosome	-	-	NODE_10_length_156988_cov_37.082224	156988	0.3979157642622366	323739f7dec22636cb9a1ad25a46e332	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	plasmid	AB114	AJ690	NODE_11_length_114231_cov_34.411760	114231	0.41696212061524457	25bf4d213cb457bcaaf2631dbf3fb7fd	not tested	rep_cluster_718	002191__CP004359_00001	MOBP	NC_020524_00069	-	-	-	-	-	CP038645	0.00557568	Acinetobacter baumannii	-	-	-
SRR25445128	chromosome	-	-	NODE_12_length_96934_cov_31.307854	96934	0.3748117275672107	3615edc6401d2487e8a8b24c089ac7a2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_13_length_88411_cov_31.845015	88411	0.3883566524527491	a1294a998bdf404891b5bd2b04c43eb4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	plasmid	AE271	AO017	NODE_14_length_84536_cov_29.211329	84536	0.3755914639916722	0509fbfd2bbfd2411b01c4d583cb5744	not tested	-	-	-	-	-	-	-	-	-	CP039931	0.0152936	Acinetobacter baumannii	-	-	-
SRR25445128	chromosome	-	-	NODE_15_length_83257_cov_36.497138	83257	0.3940089121635418	a73a9c8478b0ecfd244a8c55a436a1e0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_16_length_82864_cov_31.096236	82864	0.3735397760185364	cb62d4d6bfd4672bd413f19afc40bd80	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_17_length_60235_cov_31.169848	60235	0.3686538621435104	70768f1f34447b470d22400540e10d27	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_18_length_57426_cov_31.946535	57426	0.3931320307874482	722180aaca53036c9e683528509a9ede	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_19_length_57120_cov_36.311710	57120	0.40439425770308124	30b3770e233cb146d1a11e9a81ed63d4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_1_length_408391_cov_33.582184	408391	0.3869306620371164	b0aad98567c7c0c45b90bd65bc4db62a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_20_length_56730_cov_34.324593	56730	0.38981138727304776	08e850a30fc16757bc454c3f4f32f6fb	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_21_length_50534_cov_35.785645	50534	0.3843352990066094	7dfbc0f3820a372472e5bf3cd8b5793c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_22_length_48122_cov_31.898611	48122	0.3582768795976892	06651ce5126c3e3be3c1b58f7248453b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_23_length_45688_cov_30.324333	45688	0.38428033619331115	9cfbef45e2d2d9244094ccad677a7a03	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_24_length_31935_cov_35.791588	31935	0.3906372318772507	04a8d9a5fd76c78b4baa5e1ef6f58f1d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_25_length_29958_cov_30.710305	29958	0.399058682155017	7e72fd656ee6dd4f26d4f712451c6a2c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR25445128	chromosome	-	-	NODE_26_length_29444_cov_35.595195	29444	0.3865982882760495	28b6a983465599d99401fa272f4fe42f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
