sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
ERR10812835	chromosome	-	-	NODE_100_length_15512_cov_4.108220	15512	0.3913099535843218	4cd6fbe7c656654a81d766ca8c488089	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_101_length_15484_cov_3.303737	15484	0.3452596228364764	637e1dc60c55aec72ebbd0c404d4463f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_102_length_15365_cov_3.910127	15365	0.40085162135604324	b8b86719182c0ae376caeb5a12578b77	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_103_length_15186_cov_4.128910	15186	0.39608850256815487	fbdf616c452a3101277c16f8f79fa2e8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_104_length_15085_cov_3.315962	15085	0.3882001988730527	7f8dd27b64cf3f004dd197249fcb83cd	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_105_length_14865_cov_3.656328	14865	0.3787420114362597	ce8138dca8fda7b2d16a315be0d5f172	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_106_length_14775_cov_5.002862	14775	0.3775972927241963	c98dac2afe67bee4682248ea7878b88a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_107_length_14677_cov_4.873782	14677	0.4013763030592083	7c4a3064cddff7bdd63849e125ab6892	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_108_length_14670_cov_5.045295	14670	0.36646216768916157	31a663c45b91f71a957c922c2689cb5e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_109_length_14549_cov_3.520900	14549	0.3730840607601897	6e8b77ef5872bb71580f5b7113c3f1d1	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_10_length_42681_cov_4.765329	42681	0.40737096131768236	71efa2db4bf7c48e6b0ca909b497a96a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_110_length_14297_cov_3.202916	14297	0.36881863327970904	3909c217c23df49c07cc2261595c6985	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	chromosome	-	-	NODE_111_length_14294_cov_3.717858	14294	0.3960402966279558	86c295ceb9840b2b8c3fb23844690dd2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR10812835	plasmid	AE271	AO017	NODE_112_length_14251_cov_3.341295	14251	0.33730966247982597	4e83df719c892b9b5b5fec4c5aa1aee6	not tested	-	-	-	-	-	-	-	-	-	CP039931	0.016782	Acinetobacter baumannii	-	-	-
ERR10812835	chromosome	-	-	NODE_113_length_14143_cov_4.017445	14143	0.37198614155412574	26c3031fa41cd609d06614d65cbcf1e7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
