qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP016696|MOBP	NODE_36_length_35852_cov_13.757027	393	35852	1	393	3737	4127	393	9	97.201	100.0	100.0	minus	0.0	664	oriT
CP033534_00010|rep_cluster_1254	NODE_102_length_4985_cov_134.265248	606	4985	1	606	3309	3913	606	1	99.67	100.0	100.0	plus	0.0	1107	replicon
001839__KT325596|rep_cluster_481	NODE_36_length_35852_cov_13.757027	1221	35852	1	1202	8295	9496	1202	32	97.338	98.0	98.0	minus	0.0	2043	replicon
000682__CU468232_00001|rep_cluster_1364	NODE_83_length_10941_cov_57.472791	894	10941	1	891	3686	4565	895	107	85.922	99.0	99.0	minus	0.0	937	replicon
NZ_AEOY01000096_00007|MOBP	NODE_121_length_1952_cov_14.486239	300	1952	1	300	114	1013	300	15	95.0	100.0	100.0	plus	0.0	598	relaxase
NZ_ALIG01000010_00048|MOBP	NODE_129_length_1274_cov_418.844255	284	1274	1	284	378	1229	284	40	85.915	100.0	100.0	plus	0.0	514	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_131_length_1135_cov_1189.183398	300	1135	1	256	368	1135	256	14	94.531	85.0	85.0	plus	0.0	505	relaxase
NZ_CM001803_00063|MOBP	NODE_1_length_214461_cov_35.619378	283	214461	1	283	157646	158494	283	23	91.873	100.0	100.0	minus	0.0	555	relaxase
CP038024_00064|MOBP	NODE_36_length_35852_cov_13.757027	357	35852	1	357	1888	2958	357	13	96.359	100.0	100.0	minus	0.0	706	relaxase
NZ_AEOZ01000236_00020|MOBQ	NODE_78_length_12076_cov_15.654170	958	12076	1	958	3977	6850	958	23	97.599	100.0	100.0	plus	0.0	1914	relaxase
CP042207_00010|MOBQ	NODE_83_length_10941_cov_57.472791	430	10941	1	364	5182	6273	364	11	96.978	85.0	100.0	minus	0.0	739	relaxase
NZ_ALIR01000021_00020|MPF_T	NODE_36_length_35852_cov_13.757027	820	35852	1	820	16214	18673	820	5	99.39	100.0	100.0	plus	0.0	1667	mate-pair-formation
NC_019217_00010|MPF_T	NODE_36_length_35852_cov_13.757027	341	35852	1	341	19002	20024	341	3	99.12	100.0	100.0	plus	3.31e-168	516	mate-pair-formation
NC_019217_00008|MPF_T	NODE_36_length_35852_cov_13.757027	315	35852	1	300	20771	21661	300	4	97.667	95.0	95.0	plus	1.34e-173	530	mate-pair-formation
NC_019218_00007|MPF_T	NODE_36_length_35852_cov_13.757027	297	35852	1	297	21721	22608	297	11	95.96	100.0	100.0	plus	0.0	572	mate-pair-formation
NC_019218_00004|MPF_T	NODE_36_length_35852_cov_13.757027	884	35852	21	781	25182	27467	763	30	95.675	86.0	98.0	plus	0.0	1496	mate-pair-formation
