Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR10710700,NA,NODE_15_length_88054_cov_60.734614,52585,53370,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.00,100.00,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,NA,NA
ERR10710700,NA,NODE_1_length_430371_cov_58.173167,233,1045,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.00,100.00,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR10710700,NA,NODE_1_length_430371_cov_58.173167,3664,4497,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.00,100.00,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR10710700,NA,NODE_1_length_430371_cov_58.173167,4500,5300,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.00,100.00,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR10710700,NA,NODE_23_length_60589_cov_55.039130,53299,54120,+,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.00,100.00,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,1077,1628,+,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.00,100.00,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,1724,2353,+,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.00,100.00,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,2414,3202,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.00,100.00,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,3369,3713,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.00,100.00,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,3710,4546,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.00,100.00,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,7894,8664,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.00,100.00,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,10966,12438,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.00,100.00,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),NA,NA
ERR10710700,NA,NODE_37_length_14082_cov_46.744761,12497,13378,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.00,100.00,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,NA,NA
ERR10710700,NA,NODE_3_length_290278_cov_56.825635,289022,290170,-,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.00,100.00,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,NA,NA
ERR10710700,NA,NODE_46_length_2445_cov_57.773585,35,853,+,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.00,100.00,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,NA,NA
