Name,Contig id,Gene symbol,molecule_type
ERR10710700,NODE_15_length_88054_cov_60.734614,ant(3'')-IIa,chromosome
ERR10710700,NODE_1_length_430371_cov_58.173167,sul2,chromosome
ERR10710700,NODE_1_length_430371_cov_58.173167,aph(6)-Id,chromosome
ERR10710700,NODE_1_length_430371_cov_58.173167,aph(3'')-Ib,chromosome
ERR10710700,NODE_23_length_60589_cov_55.039130,blaOXA-66,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,aac(6')-Ib',chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,catB8,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,aadA1,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,qacEdelta1,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,sul1,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,armA,chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,msr(E),chromosome
ERR10710700,NODE_37_length_14082_cov_46.744761,mph(E),chromosome
ERR10710700,NODE_3_length_290278_cov_56.825635,blaADC-30,chromosome
ERR10710700,NODE_46_length_2445_cov_57.773585,blaOXA-23,plasmid
ERR10710700,NODE_52_length_1128_cov_60.465500,aph(3')-Ia,chromosome
ERR10710700,NODE_7_length_196738_cov_57.687417,blaNDM-1,chromosome
ERR10710700,NODE_7_length_196738_cov_57.687417,ble,chromosome
ERR10710702,NODE_15_length_88054_cov_39.590336,ant(3'')-IIa,chromosome
ERR10710702,NODE_1_length_430272_cov_37.744872,aph(3'')-Ib,chromosome
ERR10710702,NODE_1_length_430272_cov_37.744872,aph(6)-Id,chromosome
ERR10710702,NODE_1_length_430272_cov_37.744872,sul2,chromosome
ERR10710702,NODE_23_length_60590_cov_37.262403,blaOXA-66,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,aac(6')-Ib',chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,catB8,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,aadA1,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,qacEdelta1,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,sul1,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,armA,chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,msr(E),chromosome
ERR10710702,NODE_37_length_14082_cov_32.093042,mph(E),chromosome
ERR10710702,NODE_3_length_290586_cov_36.064616,blaADC-30,chromosome
ERR10710702,NODE_40_length_7846_cov_15.452950,blaNDM-1,chromosome
ERR10710702,NODE_40_length_7846_cov_15.452950,ble,chromosome
ERR10710702,NODE_46_length_2640_cov_36.622196,blaOXA-23,plasmid
ERR10710702,NODE_51_length_1128_cov_34.723032,aph(3')-Ia,chromosome
ERR10710703,NODE_15_length_88054_cov_56.072037,ant(3'')-IIa,chromosome
ERR10710703,NODE_1_length_430371_cov_54.796303,aph(3'')-Ib,chromosome
ERR10710703,NODE_1_length_430371_cov_54.796303,aph(6)-Id,chromosome
ERR10710703,NODE_1_length_430371_cov_54.796303,sul2,chromosome
ERR10710703,NODE_22_length_60590_cov_54.003174,blaOXA-66,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,mph(E),chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,msr(E),chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,armA,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,sul1,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,qacEdelta1,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,aadA1,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,catB8,chromosome
ERR10710703,NODE_39_length_14082_cov_43.844740,aac(6')-Ib',chromosome
ERR10710703,NODE_3_length_290586_cov_53.204639,blaADC-30,chromosome
ERR10710703,NODE_42_length_8122_cov_22.481865,blaNDM-1,chromosome
ERR10710703,NODE_42_length_8122_cov_22.481865,ble,chromosome
ERR10710703,NODE_49_length_2445_cov_54.832940,blaOXA-23,plasmid
ERR10710703,NODE_55_length_1128_cov_54.305151,aph(3')-Ia,chromosome
ERR10710705,NODE_14_length_115824_cov_49.004087,ble,chromosome
ERR10710705,NODE_14_length_115824_cov_49.004087,blaNDM-1,chromosome
ERR10710705,NODE_16_length_88054_cov_52.924871,ant(3'')-IIa,chromosome
ERR10710705,NODE_1_length_430371_cov_50.114191,sul2,chromosome
ERR10710705,NODE_1_length_430371_cov_50.114191,aph(6)-Id,chromosome
ERR10710705,NODE_1_length_430371_cov_50.114191,aph(3'')-Ib,chromosome
ERR10710705,NODE_22_length_60590_cov_47.501083,blaOXA-66,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,aph(3')-Ia,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,aac(6')-Ib',chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,catB8,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,aadA1,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,qacEdelta1,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,sul1,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,armA,chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,msr(E),chromosome
ERR10710705,NODE_33_length_15832_cov_47.735715,mph(E),chromosome
ERR10710705,NODE_3_length_290586_cov_48.577985,blaADC-30,chromosome
ERR10710705,NODE_42_length_2445_cov_47.801887,blaOXA-23,plasmid
ERR10710706,NODE_20_length_86230_cov_34.285739,qacEdelta1,chromosome
ERR10710706,NODE_20_length_86230_cov_34.285739,sul1,chromosome
ERR10710706,NODE_21_length_79927_cov_35.302275,ant(3'')-IIa,chromosome
ERR10710706,NODE_24_length_64282_cov_36.039606,sat2,chromosome
ERR10710706,NODE_24_length_64282_cov_36.039606,dfrA1,chromosome
ERR10710706,NODE_3_length_245277_cov_33.649108,blaADC-191,chromosome
ERR10710706,NODE_40_length_10134_cov_36.595316,sul2,plasmid
ERR10710706,NODE_40_length_10134_cov_36.595316,tet(B),plasmid
ERR10710706,NODE_41_length_9668_cov_233.390950,blaOXA-23,chromosome
ERR10710706,NODE_44_length_8122_cov_10.078898,ble,chromosome
ERR10710706,NODE_44_length_8122_cov_10.078898,blaNDM-1,chromosome
ERR10710706,NODE_48_length_3458_cov_21.039893,aac(3)-Ia,chromosome
ERR10710706,NODE_54_length_1528_cov_29.933520,aph(3')-Ia,chromosome
