sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SRR13430625	chromosome	-	-	NODE_100_length_10962_cov_7.946792	10962	0.3923554095967889	237ced1aa6b96b6012686c10d6fea04d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_101_length_10918_cov_7.667437	10918	0.39494412896134823	ab05f3e30be11b514a63146854146d6d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_102_length_10901_cov_8.822533	10901	0.3924636607721507	beb9fd04259af3aa24399810f3c10a20	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_103_length_10897_cov_7.406279	10897	0.3719114540277395	e2555ebe3499d63a1d3ae51c7de86324	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_104_length_10849_cov_7.195163	10849	0.4016038344547885	a31d2beec156c6e17c09f5b85799af1e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_105_length_10836_cov_7.099376	10836	0.40568475452196384	f551e744ac3e67b8f11e3e7a2dc834c7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_106_length_10703_cov_9.818559	10703	0.3926002055498458	24895139329c99dba9c7080b64408355	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_107_length_10641_cov_7.917473	10641	0.3933840804435673	39447ac77f6d238e68d23b34fd1313e4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_108_length_10428_cov_8.163423	10428	0.3922132719601074	a07da3e365cb232a73a7706696eacee7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_109_length_10299_cov_8.099314	10299	0.38032818720264105	2e6785e88933a1c3d2ceac32aa9f017c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_10_length_42727_cov_7.716477	42727	0.382521590563344	109aa5b9957a0a13950063d3e9a02eca	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_110_length_10235_cov_8.437549	10235	0.41836834391792865	05cd4f490fdd6b4c3b3adb9b9e32404c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_111_length_10214_cov_8.618191	10214	0.4067945956530253	d6b3f635fefd28aff4aa1a9ccf757bd2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_112_length_10147_cov_7.585788	10147	0.35586872967379524	4a1efae16a3cb000294f59e21af8c402	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_113_length_10069_cov_9.765697	10069	0.4004369848048466	ee657663aeea310d72afbf9365c406ea	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_114_length_10055_cov_9.477601	10055	0.3908503232222775	83709567ddea6e7225434247acf6da47	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_115_length_10048_cov_8.920897	10048	0.398984872611465	d666c4e1b74ab45b7df3a414edbc26cc	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_116_length_10006_cov_8.370041	10006	0.42104737157705374	43449e4a26a7ba069ee0683738b5e1cb	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_117_length_9847_cov_10.113562	9847	0.412308317253986	02f890324877565621f103d0f9518453	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_118_length_9813_cov_8.624562	9813	0.3826556608580455	1447d9942ad0b1a69942bc35d85e2d79	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR13430625	chromosome	-	-	NODE_119_length_9741_cov_8.639701	9741	0.40642644492351915	1398f73dc7e2cdd10e6c526bf6e62805	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
