qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_114_length_9967_cov_3.862282	1113	9967	1	1113	2190	3301	1113	2	99.73	100.0	100.0	plus	0.0	2037	replicon
CP032289_00012|rep_cluster_2288	NODE_33_length_36757_cov_13.118855	747	36757	1	695	3023	3717	695	47	93.237	93.0	93.0	plus	0.0	1024	replicon
NC_017163_00021|MOBF	NODE_144_length_6563_cov_5.165223	1091	6563	1	1091	3037	6309	1091	3	99.725	100.0	100.0	minus	0.0	2201	relaxase
AF003958_00007|MOBP	NODE_146_length_6177_cov_512.974992	205	6177	1	72	2	217	72	0	100.0	35.0	98.0	minus	3.0300000000000004e-43	151	relaxase
NZ_AFDA02000006_00006|MOBP	NODE_146_length_6177_cov_512.974992	604	6177	41	604	4484	6175	564	0	100.0	93.0	100.0	minus	0.0	1137	relaxase
NZ_ALIR01000019_00003|MOBQ	NODE_165_length_4461_cov_14.464695	972	4461	1	972	924	3839	972	11	98.868	100.0	100.0	plus	0.0	1890	relaxase
NC_010606_00076|MPF_T	NODE_106_length_11755_cov_7.234300	908	11755	1	908	923	3646	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_106_length_11755_cov_7.234300	214	11755	1	214	3659	4300	214	0	100.0	100.0	100.0	minus	1.07e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_106_length_11755_cov_7.234300	438	11755	1	438	5331	6644	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
NC_010606_00071|MPF_F	NODE_106_length_11755_cov_7.234300	240	11755	1	240	6657	7376	240	0	100.0	100.0	100.0	minus	3.78e-151	462	mate-pair-formation
NC_017163_00020|MPF_T	NODE_192_length_2534_cov_7.929774	719	2534	1	637	2	1912	637	4	99.372	89.0	89.0	minus	0.0	1310	mate-pair-formation
NC_017163_00053|MPF_F	NODE_97_length_13621_cov_8.170241	1000	13621	1	1000	3495	6494	1000	6	99.4	100.0	100.0	minus	0.0	1822	mate-pair-formation
NC_017163_00052|MPF_F	NODE_97_length_13621_cov_8.170241	475	13621	1	475	6513	7937	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_97_length_13621_cov_8.170241	685	13621	1	685	9147	11201	685	0	100.0	100.0	100.0	minus	0.0	1419	mate-pair-formation
NC_010606_00080|MPF_F	NODE_97_length_13621_cov_8.170241	235	13621	1	235	11201	11905	235	0	100.0	100.0	100.0	minus	5.4000000000000005e-158	481	mate-pair-formation
NC_010606_00079|MPF_F	NODE_97_length_13621_cov_8.170241	347	13621	1	347	11923	12963	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_97_length_13621_cov_8.170241	212	13621	1	212	12963	13598	212	0	100.0	100.0	100.0	minus	1.17e-140	431	mate-pair-formation
