sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
SRR25445094	chromosome			NODE_1_length_412286_cov_34.025222	412286	0.3867703487384971	8b1ff324ed9dd693c195c3a21f02e64f	00791	CP001182	ISAba1	IS4	5516	4336	5516	2815	3994						
SRR25445094	chromosome			NODE_1_length_412286_cov_34.025222	412286	0.3867703487384971	8b1ff324ed9dd693c195c3a21f02e64f	00791	CP001182	ISAba1	IS4	5516	1183	4335	104863	107998						
SRR25445094	chromosome			NODE_2_length_409636_cov_35.928915	409636	0.3937910730502202	d652feabddfa76eff06d60f91af10a00	00704	KF702385	ISAba125	IS30	2175	1	1087	8200	9286						
SRR25445094	chromosome			NODE_2_length_409636_cov_35.928915	409636	0.3937910730502202	d652feabddfa76eff06d60f91af10a00	00301	CP012956	ISAba8	IS21	1920	42	1920	9287	11165						
SRR25445094	chromosome			NODE_19_length_62300_cov_31.797254	62300	0.36818327974276527	2393769181b5c2c4608c9eab1398dae0	00704	KF702385	ISAba125	IS30	2175	1	1088	1020	2107						
SRR25445094	chromosome			NODE_36_length_5519_cov_231.689114	5519	0.48885667693422724	b46cc37fe992e4ec9258ef26d45b1512	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	173	1711						
SRR25445094	chromosome			NODE_42_length_1282_cov_263.075232	1282	0.38065522620904835	1213f2930214826b1c834c5bcb1177da	00418	KF702385	ISAba14	IS3	1283	1	1282	1	1282						
SRR25445094	plasmid	AB114	AJ690	NODE_11_length_114229_cov_35.786953	114229	0.4169519123865218	15624c9e32181996e1940c62659ec37d	00962	CP024418	ISAba12	IS5	1039	1	1039	90869	91915	1048	minus	100.0	94.847	0.0	1628
SRR25445094	plasmid	AB114	AJ690	NODE_11_length_114229_cov_35.786953	114229	0.4169519123865218	15624c9e32181996e1940c62659ec37d	00958	MF399199	ISAha2	IS5	1040	1	1040	103900	104938	1040	plus	100.0	95.673	0.0	1670
SRR25445094	plasmid	AB114	AJ690	NODE_34_length_8269_cov_30.105998	8269	0.36836376829120815	452523cd202d66bdf8ac98e51906255c	01364	CP012956	ISAba32	ISNCY	1482	1	1482	3262	4742	1483	minus	100.0	89.278	0.0	1855
